"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Amegilla",NA,"albigena",NA,"Spain","Huelva","Villamanriquesur",37.21781,-6.304244,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF618","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_1"
"Amegilla",NA,"albigena",NA,"Spain","Huelva","Lasmulas",37.214279,-6.371844,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF617","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_2"
"Amegilla",NA,"albigena",NA,"Spain","Huelva","LaRocina",37.123856,-6.506789,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF622","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_3"
"Amegilla",NA,"albigena",NA,"Spain","Huelva","Villamanriquesur",37.21781,-6.304244,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF620","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_4"
"Amegilla",NA,"albigena",NA,"Spain","Huelva","Lasmulas",37.214279,-6.371844,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF619","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_5"
"Amegilla",NA,"albigena",NA,"Spain","Huelva","Villamanriquesur",37.21781,-6.304244,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF623","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_6"
"Amegilla",NA,"fasciata",NA,"Spain","Huelva","LaRocina",37.123856,-6.506789,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF616","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_7"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Huelva","Aznalcazar",37.234966,-6.16895,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF624","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Huelva","PinaresdeHinojos",37.289861,-6.43311,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Mirtus communis","BF621","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_9"
"Andrena",NA,"abrupta",NA,"Spain","Huelva","Elpozo",37.249254,-6.660927,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,"1",NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula stoechas","BF300","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_10"
"Andrena",NA,"angustior",NA,"Spain","Huelva","Elpinar",37.291091,-6.222871,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,"1",NA,NA,"http://doi.org/10.5281/zenodo.3364037","Convolvulus arvensis","BF332","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_11"
"Andrena",NA,"angustior",NA,"Spain","Huelva","Lasmulas",37.214279,-6.371844,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus salvifolius","BF330","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_12"
"Andrena",NA,"angustior",NA,"Spain","Huelva","ConventodelaLuz",37.291937,-6.752456,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado","1",NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus salvifolius","BF285","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_13"
"Andrena",NA,"carbonaria",NA,"Spain","Huelva","Aznalcazar",37.234966,-6.16895,"gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,"1",NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF703","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_14"
