"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Bombus",NA,"pascuorum",NA,"Spain","Jaén","Sierra de Cazorla. Nacimiento del Guadalquivir",NA,NA,NA,2011,NA,NA,NA,NA,"J.L. Blanco","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_1"
"Bombus",NA,"pascuorum",NA,"Spain","Jaén","Sierra de Cazorla. Nacimiento del Guadalquivir",NA,NA,NA,2011,NA,NA,NA,NA,"J.L. Blanco","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_2"
"Anthophora",NA," atroalba",NA,"Spain","Jaén","Sierra de Cazorla. Nacimiento del Guadalquivir",NA,NA,NA,2011,NA,NA,NA,NA,"J.L. Blanco","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_3"
"Apis ",NA,"mellifera",NA,"Spain","Guadalajara","Durón",NA,NA,NA,2010,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,2,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_4"
"Apis ",NA,"mellifera",NA,"Spain","Guadalajara","Durón",NA,NA,NA,2010,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_5"
"Apis ",NA,"mellifera",NA,"Spain","Guadalajara","Durón",NA,NA,NA,2010,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_6"
"Anthophora",NA,"plumipes",NA,"Spain","Valencia","Barx",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,5,NA,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_7"
"Bombus",NA,"terrestris",NA,"Spain","Valencia","Barx",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_8"
"Anthophora",NA,"plumipes",NA,"Spain","Valencia","Barx",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,1,NA,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_9"
"Bombus",NA,"ruderatus",NA,"Spain","Cádiz","Benaocaz",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_10"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,3,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_11"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_12"
"Bombus",NA,"pratorum",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,1,NA,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_13"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,2,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_14"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_15"
"Bombus ",NA,"maxillosus",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,1,NA,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_16"
"Apis",NA,"mellifera",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,3,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_17"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_18"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_19"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_20"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_21"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_22"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Veleta. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_23"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,3,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_24"
"Bombus",NA,"ruderatus",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_25"
"Bombus",NA,"ruderatus",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_26"
"Bombus",NA,"pascuorum",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_27"
"Bombus",NA,"pascuorum",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_28"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_29"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_30"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_31"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_32"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_33"
"Apis ",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_34"
"Bombus",NA,"terrestris",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,4,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_35"
"Bombus",NA,"ruderatus",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_36"
"Apis",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_37"
"Apis",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_38"
"Apis",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_39"
"Apis",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_40"
"Apis",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_41"
"Apis",NA,"mellifera",NA,"Spain","Granada","Caballo. Sierra Nevada",NA,NA,NA,2011,NA,NA,NA,NA,"P. Vargas","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_42"
"Anthidium",NA,"cingulatum",NA,"Spain","Almería","Mojácar-Carboneras",NA,NA,NA,2011,NA,NA,NA,NA,"I.M. Liberal","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_43"
"Eucera",NA,"notata",NA,"Spain","Almería","Mojácar-Carboneras",NA,NA,NA,2011,NA,NA,NA,NA,"I.M. Liberal","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_44"
"Ceratina",NA,"cucurbitina",NA,"Spain","Almería","Mojácar-Carboneras",NA,NA,NA,2011,NA,NA,NA,NA,"I.M. Liberal","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_45"
"Bombus",NA,"pascuorum",NA,"Spain","Castellón","Fredes",NA,NA,NA,2011,NA,NA,NA,NA,"I.M. Liberal","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_46"
"Bombus",NA,"pratorum",NA,"Spain","Castellón","Fredes",NA,NA,NA,2011,NA,NA,NA,NA,"I.M. Liberal","C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_47"
"Apis",NA,"mellifera",NA,"Spain","Cantabria","Tama",NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_48"
"Apis",NA,"mellifera",NA,"Spain","Cantabria","Tama",NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_49"
"Apis",NA,"mellifera",NA,"Spain","Cantabria","Tama",NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_50"
"Apis",NA,"mellifera",NA,"Spain","Cantabria","Tama",NA,NA,NA,NA,NA,NA,NA,NA,"C. Onosa","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_51"
"Apis",NA,"mellifera",NA,"Morocco","Al Haouz","Imlil",NA,NA,NA,2012,"07","01",NA,NA,"J.L. Blanco","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_52"
"Apis",NA,"mellifera",NA,"Morocco","Al Haouz","Imlil",NA,NA,NA,2012,"07","01",NA,NA,"J.L. Blanco","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_53"
"Apis",NA,"mellifera",NA,"Morocco","Al Haouz","Imlil",NA,NA,NA,2012,"07","01",NA,NA,"J.L. Blanco","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_54"
"Apis",NA,"mellifera",NA,"Morocco","Al Haouz","Imlil",NA,NA,NA,2012,"07","01",NA,NA,"J.L. Blanco","C. Onosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_55"
"Apis",NA,"mellifera",NA,"Morocco","Al Haouz","Imlil",NA,NA,NA,2012,"07","01",NA,NA,"J.L. Blanco",NA,0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_56"
"Chalicodoma",NA,"pyrenaica",NA,"Spain","Cádiz","Los Alcornocales",NA,NA,NA,2012,"05","17",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_57"
"Chalicodoma",NA,"pyrenaica",NA,"Spain","Cádiz","Zahara de la Sierra",NA,NA,NA,2012,"05","18",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_58"
"Ceratina",NA,"cucurbitina",NA,"Spain","Cádiz","Zahara de la Sierra",NA,NA,NA,2012,"05","18",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_59"
"Ceratina",NA,"cucurbitina",NA,"Spain","Cádiz","Los Alcornocales",NA,NA,NA,2012,"05","17",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_60"
"Ceratina",NA,"cucurbitina",NA,"Spain","Málaga","Torcal de Antequera",NA,NA,NA,2012,"05","26",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_61"
"Anthophora",NA,"plumipes",NA,"Spain","Málaga","Torcal de Antequera",NA,NA,NA,2012,"05","26",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,1,0,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_62"
"Anthophora",NA,"plumipes",NA,"Spain","Málaga","Torcal de Antequera",NA,NA,NA,2012,"05","26",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,1,0,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_63"
"Anthophora",NA,"crassipes",NA,"Spain","Jaén","Sierra de Cazorla",NA,NA,NA,2012,"05","24",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_64"
"Anthophora",NA,"agama",NA,"Spain","Jaén","Sierra de Cazorla",NA,NA,NA,2012,"05","24",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_65"
"Anthophora",NA,"agama",NA,"Spain","Jaén","Sierra de Cazorla",NA,NA,NA,2012,"05","24",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_66"
"Anthophora",NA,"agama",NA,"Spain","Jaén","Sierra de Cazorla",NA,NA,NA,2012,"05","24",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,1,0,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_67"
"Anthophora",NA,"atroalba",NA,"Spain","Córdoba","Cabra",NA,NA,NA,2012,"05","25",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_68"
"Anthophora",NA,"plagiata",NA,"Spain","Córdoba","Cabra",NA,NA,NA,2012,"05","25",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_69"
"Anthophora",NA,"plagiata",NA,"Spain","Córdoba","Cabra",NA,NA,NA,2012,"05","25",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_70"
"Anthophora",NA,"plagiata",NA,"Spain","Córdoba","Cabra",NA,NA,NA,2012,"05","25",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_71"
"Rhodanthidium",NA,"sticticum",NA,"Spain","Málaga","Torcal de Antequera",NA,NA,NA,2012,"05","26",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,1,0,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_72"
"Anthidium",NA,"manicatum",NA,"Spain","Córdoba","Cabra",NA,NA,NA,2012,"05","25",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_73"
"Osmia",NA,"andrenoides",NA,"Spain","Cádiz","Zahara de la Sierra",NA,NA,NA,2012,"05","18",NA,NA,"J.L. Blanco","JL Blanco, C. Ornosa",0,NA,1,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1_Ornosa_74"
