"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Ammobates",NA,"muticus",NA,"Spain","Valencia","Javea (Alicante)",38.78333,0.16666,"<10m",1989,"05",NA,"01/05/1989","01/05/1989","H. Wolf","H. Wolf",1,0,0,0,NA,NA,"AMNH_BEE 00024743","J. Ascher",NA,NA,"32_Valverde_1"
"Ammobates",NA,"punctatus",NA,"Portugal","Setubal","Taipadas",38.7333,-8.6667,"<1km",1996,"08","31","31/08/1996","31/08/1996","unknown","M. Schwarz",1,0,0,0,NA,NA,"AMNH_BEE 00020527","J. Ascher",NA,NA,"32_Valverde_2"
"Apis",NA,"mellifera",NA,"Portugal","Lisbon","Lisbon",38.736946,-9.142685,"<3km",2000,NA,NA,"01/01/2000","01/01/2000","unknown","M. Silva",1,0,0,0,NA,NA,"CE3C",NA,NA,NA,"32_Valverde_3"
"Andrena",NA,"agilissima",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","22","21/06/2010","22/06/2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_4"
"Andrena",NA,"agilissima",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","21","16/06/2011","26/06/2011","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_5"
"Andrena",NA,"agilissima",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","5","01/06/2012","08/06/2012","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_6"
"Andrena",NA,"agilissima",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2013,"06","26","26/06/2013","26/06/2013","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_7"
"Andrena",NA,"flavipes",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","25","25/05/2012","25/05/2012","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_8"
"Andrena",NA,"sardoa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","24","24/05/2010","24/05/2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_9"
"Andrena",NA,"sardoa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","8","08/06/2010","08/06/2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_10"
