"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Andrena",NA,"agilissima",NA,"Spain","Asturias","Tiñana",43.3637,-5.763696,"0,1 km",2015,"05","03",NA,NA,NA,"O. Aguado",1,0,0,0,NA,"Raphanus raphanistrum","15-093","M. Miñarro, A. Núñez",NA,NA,"51_Minarro_1"
"Andrena",NA,"agilissima",NA,"Spain","Asturias","Las Vías",43.500869,-6.086791,"0,1 km",2015,"06","07",NA,NA,NA,"O. Aguado",0,1,0,0,NA,"Brassica rapa","K-162","M. Miñarro, A. Núñez",NA,NA,"51_Minarro_2"
"Andrena",NA,"agilissima",NA,"Spain","Asturias","Forcinas",43.483535,-6.101761,"0,1 km",2015,"06","02",NA,NA,NA,"O. Aguado",1,0,0,0,NA,"Brassica sp.","K-218","M. Miñarro, A. Núñez",NA,NA,"51_Minarro_3"
"Andrena",NA,"agilissima",NA,"Spain","Asturias","Repolles",43.442003,-6.131293,"0,1 km",2015,"06","02",NA,NA,NA,"O. Aguado",1,0,0,0,NA,"Brassica sp.","K-231","M. Miñarro, A. Núñez",NA,NA,"51_Minarro_4"
"Andrena",NA,"agilissima",NA,"Spain","Asturias","Las Vías",43.500869,-6.086791,"0,1 km",2015,"06","04",NA,NA,NA,"O. Aguado",1,0,0,0,NA,"Brassica sp.","K-26","M. Miñarro, A. Núñez",NA,NA,"51_Minarro_5"
"Andrena",NA,"alfkenella",NA,"Spain","Asturias","Villaviciosa",43.477415,-5.441535,"0,1 km",2017,"07","06",NA,NA,"A. Nuñez","A. Núñez",0,1,0,0,NA,NA,"EC17-251","M. Miñarro, A. Núñez","Caught by netting in apple orchard groundcover",NA,"51_Minarro_6"
"Andrena",NA,"alfkenella",NA,"Spain","Asturias","La Lloraza",43.528812,-5.44904,"0,1 km",2017,"07","07",NA,NA,"A. Nuñez","A. Núñez",1,0,0,0,NA,NA,"EC17-294","M. Miñarro, A. Núñez","Caught by netting in apple orchard groundcover",NA,"51_Minarro_7"
"Andrena",NA,"alfkenella",NA,"Spain","Asturias","Ceyanes",43.452423,-5.386444,"0,1 km",2016,"06","07",NA,NA,NA,"A. Núñez, O.  Aguado, J.  Ortiz",1,0,0,0,NA,NA,"16-1035","M. Miñarro, A. Núñez","Caught by netting in apple orchard groundcover",NA,"51_Minarro_8"
"Andrena",NA,"alfkenella",NA,"Spain","Asturias","Ceyanes",43.452423,-5.386444,"0,1 km",2016,"06","07",NA,NA,NA,"A. Núñez, O.  Aguado, J.  Ortiz",1,0,0,0,NA,NA,"16-1036","M. Miñarro, A. Núñez","Caught by netting in apple orchard groundcover",NA,"51_Minarro_9"
"Andrena",NA,"alfkenella",NA,"Spain","Asturias","Noreña",43.402281,-5.716353,"0,1 km",2016,"06","27",NA,NA,NA,"A. Núñez, O.  Aguado, J.  Ortiz",0,1,0,0,NA,NA,"POST-1107","M. Miñarro, A. Núñez","Caught by netting in apple orchard groundcover",NA,"51_Minarro_10"
