"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Amegilla",NA,"andresi",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",NA,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_1"
"Ammobates",NA,"muticus",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_2"
"Andrena",NA,"bimaculata",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",NA,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_3"
"Andrena",NA,"flavipes",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",2,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_4"
"Andrena",NA,"fulvicornis",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",NA,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_5"
"Andrena",NA,"leucolippa",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",5,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_6"
"Andrena",NA,"limata",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",1,NA,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_7"
"Andrena",NA,"pilipes",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",4,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_8"
"Anthidiellum",NA,"strigatum",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",NA,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_9"
"Anthophora",NA,"bimaculata",NA,"Spain","Sevilla","Aznalcazar",37.2622,-62.216,NA,2021,"05","21","21/05/2021","21/05/2021","T. Wood","T. Wood",2,1,NA,NA,NA,NA,NA,"T. Wood",NA,NA,"58_Wood_10"
