"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Lasioglossum",NA,"pauxillum",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,5,24,NA,NA,"Marta Rodríguez","Concepción Ornosa",NA,NA,NA,"1",NA,"Launaea fragilis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal1"
"Andrena",NA,"hispania",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,5,29,NA,NA,"Ana Vázquez","Concepción Ornosa",NA,NA,NA,"1",NA,"Reseda stricta",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal2"
"Lasioglossum",NA,"pauxillum",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,5,29,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Launaea fragilis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal3"
"Anthophora",NA,"atroalba",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,3,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Launaea fragilis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal4"
"Lasioglossum",NA,"pauxillum",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,3,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Launaea fragilis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal5"
"Andrena",NA,"morio",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,5,NA,NA,"Ana Vázquez","Concepción Ornosa",NA,NA,NA,"1",NA,"Reseda stricta",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal6"
"Andrena",NA,"humilis",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,13,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Launaea fragilis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal7"
"Colletes",NA,"abeillei",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,13,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Reseda phyteuma",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal8"
"Osmia",NA,"lunata",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,13,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Frankenia thymifolia",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal9"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,20,NA,NA,"Ana Vázquez","Concepción Ornosa",NA,NA,NA,"1",NA,"Phlomis lychnitis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal10"
"Andrena",NA,"humilis",NA,"Spain","Cuenca","Belinchón","40,07468905","-3,07287606","100 m",2013,6,24,NA,NA,"Marta Rodríguez","Concepción Ornosa",NA,NA,NA,"1",NA,"Helianthemum squamatum",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal11"
"Lasioglossum",NA,"pauxillum",NA,"Spain","Cuenca","Belinchón","40,07503238","-3,071328359","100 m",2013,5,24,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Launaea fragilis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal12"
"Lasioglossum",NA,"pauxillum",NA,"Spain","Cuenca","Belinchón","40,07503238","-3,071328359","100 m",2013,6,5,NA,NA,"Jesús López-Angulo","Concepción Ornosa",NA,NA,NA,"1",NA,"Launaea fragilis",NA,"Jesús López-Angulo, Marta Rodríguez, Ana Vázquez, Bernardo de Haro, Ana M. Sánchez and Silvia Santamaria",NA,NA,"60_Lopez-Angulo_etal13"
