"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Andrena","Agandrena","afrensis",NA,"Spain","Asturias","Belmonte, Parque industrial (Belmonte)",43.28321,-6.22684,"29TQH2596",2020,7,2,NA,NA,"Marián Álvarez Fidalgo","Piluca Álvarez Fidalgo","0",1,"0",NA,NA,"Sinapis arvensis",NA,NA,"190 m",NA,"66_Alvarez_etal1"
"Andrena","Agandrena","afrensis",NA,"Spain","Asturias","Pola de Lena* (Lena)",43.1378,-5.82805,"30TTN78C",1981,6,9,NA,NA,NA,"Piluca Álvarez Fidalgo","0",1,"0",NA,NA,NA,"MNCN_Ent 243991",NA,"300 m",NA,"66_Alvarez_etal2"
"Andrena","Agandrena","agilissima",NA,"Spain","Asturias","La Grandota (Oviedo)",43.33687,-5.78793,"30TTP7402",2020,6,2,NA,NA,"Marián Álvarez Fidalgo","Marián Álvarez Fidalgo","0",0,"1",NA,NA,"Raphanus raphanistrum",NA,NA,"500 m",NA,"66_Alvarez_etal3"
"Andrena","Agandrena","agilissima",NA,"Spain","Asturias","La Grandota (Oviedo)",43.33687,-5.78793,"30TTP7402",2020,6,2,NA,NA,"Marián Álvarez Fidalgo","Marián Álvarez Fidalgo","0",0,"2",NA,NA,"Sinapis arvensis",NA,NA,"500 m",NA,"66_Alvarez_etal4"
"Andrena","Agandrena","agilissima",NA,"Spain","Asturias","Oviedo (a), Aldea Campón (Oviedo)",43.34342,-5.88693,"30TTP6603",2020,5,6,NA,NA,"Marián Álvarez Fidalgo","Piluca Álvarez Fidalgo","0",0,"1",NA,NA,"Hirschfeldia incana",NA,NA,"320 m",NA,"66_Alvarez_etal5"
"Andrena","Agandrena","agilissima",NA,"Spain","Asturias","Pola de Lena* (Lena)",43.1378,-5.82805,"30TTN78C",1972,7,4,NA,NA,NA,"Piluca Álvarez Fidalgo","0",0,"1",NA,NA,NA,"MNCN_Ent 243992",NA,"300 m",NA,"66_Alvarez_etal6"
"Andrena","Agandrena","agilissima",NA,"Spain","Asturias","San Claudio, polígono industrial (Oviedo)",43.35147,-5.92432,"30TTP6304",2020,5,17,NA,NA,"Nacho Noval Fonseca","Piluca Álvarez Fidalgo","0",0,"1",NA,NA,"Hirschfeldia incana",NA,NA,"155 m",NA,"66_Alvarez_etal7"
"Andrena","Agandrena","agilissima",NA,"Spain","Asturias","Villanueva (a), aparcamiento Ruta de las Xanas (Santo Adriano)",43.2683,-6.00659,"30TTN5695",2020,5,27,NA,NA,"Nacho Noval Fonseca","Piluca Álvarez Fidalgo","0",1,"1",NA,NA,"Raphanus raphanistrum",NA,NA,"190 m",NA,"66_Alvarez_etal8"
"Andrena","Andrena","praecox",NA,"Spain","Asturias","Los Corros (b), Senda verde del Nora (Siero)",43.37693,-5.61696,"30TTP8806",2020,2,2,NA,NA,"Nacho Noval Fonseca","Piluca Álvarez Fidalgo","0",0,"1",NA,NA,"Salix sp.",NA,NA,"220 m",NA,"66_Alvarez_etal9"
"Andrena","Andrena","praecox",NA,"Spain","Asturias","Soto de Rey (Ribera de Arriba)",43.29907,-5.86017,"30TTN6898",2020,2,9,NA,NA,"Nacho Noval Fonseca","Piluca Álvarez Fidalgo","0",0,"1",NA,NA,NA,NA,NA,"130 m",NA,"66_Alvarez_etal10"
"Andrena","Andrena","praecox",NA,"Spain","Asturias","Vegalencia (Ribera de Arriba)",43.29876,-5.87248,"30TTN6798",2020,2,9,NA,NA,"Marián Álvarez Fidalgo y Nacho Noval Fonseca","Piluca Álvarez Fidalgo","0",0,"2",NA,NA,"Salix sp.",NA,NA,"130 m",NA,"66_Alvarez_etal11"
"Andrena","Andrena","praecox",NA,"Spain","Cantabria","Muñorrodero (b), Área Recreativa de Muñorrodero (Val de San Vicente)",43.36111,-4.49327,"30TUP7902",2020,2,23,NA,NA,"Piluca Álvarez Fidalgo","Piluca Álvarez Fidalgo","0",0,"1",NA,NA,"Salix sp.",NA,NA,"10m",NA,"66_Alvarez_etal12"
"Andrena","Biareolina","lagopus",NA,"Spain","Asturias","La Cobertoria, Apeadero de la Cobertoria (Lena)",43.1288,-5.82763,"30TTN7079",2020,3,8,NA,NA,"Nacho Noval Fonseca","Piluca Álvarez Fidalgo","0",0,"1",NA,NA,"Hirschfeldia incana",NA,NA,"350 m",NA,"66_Alvarez_etal13"
"Andrena","Biareolina","lagopus",NA,"Spain","Asturias","Oviedo (c), Montecerrao (Oviedo)",43.34373,-5.8746,"30TTP6703",2020,3,14,NA,NA,"Marián Álvarez Fidalgo","Marián Álvarez Fidalgo","0",0,"1",NA,NA,"Crepis taraxacifolia",NA,NA,"270 m",NA,"66_Alvarez_etal14"
"Andrena","Biareolina","lagopus",NA,"Spain","Cantabria","Cuchía,  Canteras de Cuchía (Miengo)",43.4293,-4.02546,"30TVP1709",2018,4,8,NA,NA,"Marián Álvarez Fidalgo","Piluca Álvarez Fidalgo","0",0,"1",NA,NA,"Sinapis arvensis",NA,NA,"3 m",NA,"66_Alvarez_etal15"
