"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Empis",NA,"tessellata",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Cardaria draba",NA,NA,"20","additional data is temp","67_life_polinizadores1"
"Episyrphus",NA,"balteatus",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Rapistrum sp",NA,NA,"20","additional data is temp","67_life_polinizadores2"
"Chloromyia",NA,"formosa",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Euphorbia phalcata",NA,NA,"20","additional data is temp","67_life_polinizadores3"
"Certallum",NA,"ebullinum",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Rapistrum sp",NA,NA,"20","additional data is temp","67_life_polinizadores4"
"Enicopus",NA,"sp",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Cardaria draba",NA,NA,"20","additional data is temp","67_life_polinizadores5"
"Polyommatus",NA,"icarus",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Plantago lanceolata",NA,NA,"20","additional data is temp","67_life_polinizadores6"
"Empis",NA,"tessellata",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Cardaria draba",NA,NA,"22","additional data is temp","67_life_polinizadores7"
"Eristalis",NA,"tenax",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Sonchus asper",NA,NA,"22","additional data is temp","67_life_polinizadores8"
"Oxythyrea",NA,"funesta",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Taraxacum officinale",NA,NA,"22","additional data is temp","67_life_polinizadores9"
"Chloromyia",NA,"formosa",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Euphorbia phalcata",NA,NA,"22","additional data is temp","67_life_polinizadores10"
"Chloromyia",NA,"formosa",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Euphorbia phalcata",NA,NA,"22","additional data is temp","67_life_polinizadores11"
"Sphecodes",NA,"ruficrus",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Euphorbia phalcata",NA,NA,"22","additional data is temp","67_life_polinizadores12"
"Oedemera",NA,"cf. nobilis",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Taraxacum officinale",NA,NA,"22","additional data is temp","67_life_polinizadores13"
"Oedemera",NA,"cf. nobilis",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Taraxacum officinale",NA,NA,"22","additional data is temp","67_life_polinizadores14"
"Enicopus",NA,"sp",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Bromus hordeaceus",NA,NA,"22","additional data is temp","67_life_polinizadores15"
"Conophorus",NA,"sp",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Sonchus oleraceus",NA,NA,"22","additional data is temp","67_life_polinizadores16"
"Parageron",NA,"sp",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Sonchus oleraceus",NA,NA,"22","additional data is temp","67_life_polinizadores17"
"Lasioglossum",NA,"pauxillum",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Sonchus oleraceus",NA,NA,"22","additional data is temp","67_life_polinizadores18"
"Apis",NA,"mellifera",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Sonchus oleraceus",NA,NA,"22","additional data is temp","67_life_polinizadores19"
"Episyrphus",NA,"balteatus",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Sonchus oleraceus",NA,NA,"22","additional data is temp","67_life_polinizadores20"
"Anthophora",NA,"plumipes",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Vicia sp",NA,NA,"22","additional data is temp","67_life_polinizadores21"
"Anthophora",NA,"plumipes",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Vicia sp",NA,NA,"22","additional data is temp","67_life_polinizadores22"
"Anthophora",NA,"plumipes",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Vicia sp",NA,NA,"22","additional data is temp","67_life_polinizadores23"
"Lomatia",NA,"sp",NA,"Spain","Zaragoza",NA,NA,NA,NA,"2021","4","19",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Taraxacum officinale",NA,NA,"22","additional data is temp","67_life_polinizadores24"
