"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1990",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003680","Félix Torres","","","80_Torres1"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1991",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003681","Félix Torres","","","80_Torres2"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Segovia","Fuentidueña",NA,NA,NA,"1986",NA,NA,NA,NA,"E. Asensio","Dardón","1",NA,NA,NA,NA,NA,"APO-003682","Félix Torres","","","80_Torres3"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1991",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003683","Félix Torres","","","80_Torres4"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1990",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003684","Félix Torres","","","80_Torres5"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1990",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003685","Félix Torres","","","80_Torres6"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1990",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003686","Félix Torres","","","80_Torres7"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1991",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003687","Félix Torres","","","80_Torres8"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1990",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003688","Félix Torres","","","80_Torres9"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1991",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003689","Félix Torres","","","80_Torres10"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1991",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003690","Félix Torres","","","80_Torres11"
"Andrena ","Micrandrena","fabrella","fabrella","Spain","Zaragoza","Pina de Ebro",NA,NA,NA,"1990",NA,NA,NA,NA,"J Blasco ","Dardón","1",NA,NA,NA,NA,NA,"APO-003691","Félix Torres","","","80_Torres12"
