"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena",NA,"incertae","sedis","Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Andrena",NA,"hypopolia",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Andrena","Plastandrena","bimaculata",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Panurgus","Panurgus","calcaratus",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Panurgus","Panurgus","cephalotes",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Pasites",NA,"maculatus",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Amegilla","Amegilla","garrula",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Amegilla","Amegilla","quadrifasciata",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Amegilla","Zebramegilla","albigena",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Apis","Apis","mellifera",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Bombus","Bombus","terrestris",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Bombus","Melanobombus","lapidarius",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Ceratina","cucurbitina",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Dalyatina","parvula",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","callosa",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","chalcites",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","chalybea",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","cyanea",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","dallatorreana",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","dentiventris",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","gravidula",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","mocsaryi",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Ceratina","Euceratina","nigrolabiata",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Epeolus",NA,"cruciger",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Tetralonia",NA,"alticincta",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
"Tetralonia",NA,"salicariae",NA,"Spain","Tarragona","Terra alta",40.93475337,0.275236117,NA,2024,"July",NA,13,19,NA,NA,NA,NA,NA,NA,"10.2436/20.1502.01.222",NA,NA,"Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé",NA,""
