"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Bombus",NA,"terrestris",NA,"España","Asturias","Luarca",NA,NA,NA,"1991",4,18,NA,NA,"César González","Ana Murguizu",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_202310241"
"Bombus",NA,"terrestris",NA,"España","Asturias","Miranda",NA,NA,NA,"1991",2,22,NA,NA,"F. J. P. Bustelo","F. J. P. Bustelo",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_202310242"
"Bombus",NA,"terrestris",NA,"España","Asturias","Cazanes",NA,NA,NA,"1991",4,21,NA,NA,"E. García","E. García",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,"Tiene moho","87_NOCOMPLEXHymenopteros_OVIEDO_202310243"
"Bombus",NA,"lucorum",NA,"España","Asturias","Somió",NA,NA,NA,"1989",11,19,NA,NA,"Celestino Glez","Celestino Glez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_202310244"
"Bombus",NA,"terrestris",NA,"España","Asturias","Luarca",NA,NA,NA,"1990",10,25,NA,NA,"E. Celada Castañón","E. Celada Castañón",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_202310245"
"Bombus",NA,"terrestris",NA,"España","Asturias","Playa de Barayo",NA,NA,NA,"1987",3,23,NA,NA,"J. M. Santaeufemia","J. M. Santaeufemia",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","En dunas de playa",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_202310246"
"Bombus",NA,"terrestris",NA,"España","Asturias","Cabo Busto",NA,NA,NA,"1990",10,22,NA,NA,"Jorge Jáuregui","Jorge Jáuregui",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_202310247"
"Bombus",NA,"terrestris",NA,"España","Asturias","S. Lázaro",NA,NA,NA,"1991",5,14,NA,NA,"Amaia Irizar","Isabel Sánchez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_202310248"
"Bombus",NA,"terrestris",NA,"España","Asturias","Somió",NA,NA,NA,"1990",7,3,NA,NA,"A. Busto","A. Busto",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,"Tiene moho","87_NOCOMPLEXHymenopteros_OVIEDO_202310249"
"Bombus",NA,"terrestris",NA,"España","Asturias","Pico Seana",NA,NA,NA,"1991",3,19,NA,NA,"M. Pelaez Cruz","M. Pelaez Cruz",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102410"
"Bombus",NA,"lucorum",NA,"España","Asturias","El Villar (Luarca)",NA,NA,NA,"1990",10,23,NA,NA,"C. Viña Herbón","C. Viña Herbón",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102411"
"Bombus",NA,"terrestris",NA,"España","Asturias","Jove",NA,NA,NA,"1991",5,26,NA,NA,"Mª Jesús Glez","Mª Jesús Glez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102412"
