"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Anthidium",NA,"manicatum",NA,"Portugal","Santarem","Fátima, Moita Redonda",39.639631,-8.673147,NA,1972,8,3,NA,NA,"Pedro de Mendoça","Martim Baptista",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0035707",NA,"88_Baptista_et_al_20261"
"Panurgus",NA,"perezi",NA,"Portugal","Porto","Terroso",41.411617,-8.725953,NA,2013,8,14,NA,NA,"R. Andrade","David W. Baldock",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0042739",NA,"88_Baptista_et_al_20262"
"Hylaeus",NA,"clypearis",NA,"Portugal","Faro","Guia",37.126475,-8.299664,NA,2008,4,27,NA,NA,"David W. Baldock","Zsolt Józan",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0044943",NA,"88_Baptista_et_al_20263"
"Panurgus",NA,"calcaratus",NA,"Portugal","Faro","Guia",37.126475,-8.299664,NA,2008,4,27,NA,NA,"David W. Baldock","David W. Baldock",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0043089",NA,"88_Baptista_et_al_20264"
"Ceratina",NA,"cyanea",NA,"Portugal","Faro","Rio Gilão ao pé do Paul",37.152988,-7.672616,NA,2015,7,30,NA,NA,"Elizabeth A. Howe","Thomas J. Wood",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0042520",NA,"88_Baptista_et_al_20265"
"Hylaeus",NA,"incongruus",NA,"Portugal","Setubal","Cercal, Janeirinha de Cima",37.76938,-8.667411,NA,2016,7,21,NA,NA,"Elizabeth A. Howe","Martim Baptista",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0045336",NA,"88_Baptista_et_al_20266"
"Osmia",NA,"rufohirta",NA,"Portugal","Faro","Guia",37.126475,-8.299664,NA,2005,4,20,NA,NA,"David W. Baldock","Félix Torres",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0044043",NA,"88_Baptista_et_al_20267"
"Panurgus",NA,"calcaratus",NA,"Portugal","Santarem","Mouriscas",39.503094,-8.095583,NA,2009,5,14,NA,NA,"Frank Pennekamp","Martim Baptista",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0054578",NA,"88_Baptista_et_al_20268"
"Anthophora",NA,"plumipes",NA,"Portugal","Santarem","Fátima, Moita Redonda",39.639631,-8.673147,NA,1985,5,18,NA,NA,"Pedro de Mendoça","Luis Filipe Lopes",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0035655",NA,"88_Baptista_et_al_20269"
"Eucera",NA,"codinai",NA,"Portugal","Beja","Santa Clara-a-Velha",37.701,-8.486,NA,2002,5,2,NA,NA,"David W. Baldock","Francisco J. Ortiz-Sanchez",NA,NA,NA,NA,"https://doi.org/10.3897/BDJ.14.e188597",NA,NA,"Martim Baptista; Paulo de Sousa & Roberto A. Keller","MNHNCENT0041839",NA,"88_Baptista_et_al_202610"
