"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena",NA,"flavipes",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,3,23,83,83,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena flavipes, by Klaus Warncke","ZOO.0028265"
"Hylaeus",NA,"incongruus",NA,"PT","Porto","Vieiros",41.319463,-7.996291,1e-06,1983,8,4,216,216,"Maciel Correia","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Hylaeus sp., by H Gaspar","ZOO.0031881"
"Megachile",NA,"baetica",NA,"PT","Beja","Aljustrel",37.874845,-8.165612,1e-06,1956,3,5,65,65,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Megachile baetica, by Manuel Assunção Diniz","ZOO.0021953"
"Andrena",NA,"suerinensis",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1967,3,15,74,74,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena sp., by H Gaspar","ZOO.0031009"
"Panurginus",NA,"albopilosus",NA,"PT","Faro","Sagres",37.010574,-8.939424,1e-06,1966,4,10,100,100,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurginus albopilosus, by Manuel Assunção Diniz","ZOO.0018617"
"Osmia",NA,"aurulenta",NA,"PT","Porto","Vieiros",41.319463,-7.996291,1e-06,1983,6,6,157,157,"Maciel Correia","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"","ZOO.0032519"
"Lasioglossum",NA,"callizonium",NA,"PT","Faro","Monte Gordo",37.189931,-7.448399,1e-06,1967,6,5,156,156,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019736"
"Anthidium",NA,"manicatum",NA,"PT","Setúbal","Sines",37.983589,-8.857892,1e-06,1969,7,26,207,207,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthidium manicatum, by Manuel Assunção Diniz","ZOO.0021727"
"Ammobates",NA,"muticus",NA,"PT","Lisboa","Estoril",38.712093,-9.396118,1e-06,1955,4,17,107,107,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Ammobates muticus, by Manuel Assunção Diniz","ZOO.0023871"
"Anthophora",NA,"dispar",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1968,3,10,70,70,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora dispar, by Manuel Assunção Diniz","ZOO.0029194"
"Anthophora",NA,"plumipes",NA,"PT","Setúbal","Setúbal",38.522795,-8.906402,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora plumipes, by Maurits Anne Lieftinck","ZOO.0024995"
"Lasioglossum",NA,"callizonium",NA,"PT","Lisboa","Cascais",38.696925,-9.429368,1e-06,1953,6,10,161,161,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019429"
"Lasioglossum",NA,"immunitum",NA,"PT","Faro","Praia da Quarteira",37.065458,-8.100384,1e-06,1967,6,7,158,158,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019861"
"Andrena",NA,NA,NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,6,7,159,159,"Manuel Assunção Diniz","",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena minutula, by Klaus Warncke","ZOO.0027780"
"Andrena",NA,"granulosa",NA,"PT","Coimbra","Serra da Boa Viagem",40.201696,-8.881317,1e-06,1963,4,30,120,120,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena granulosa, by Klaus Warncke","ZOO.0017048"
"Andrena",NA,"flavipes",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1968,3,16,76,76,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena flavipes, by Klaus Warncke","ZOO.0028221"
"Apis",NA,"mellifera",NA,"PT","Coimbra","Coimbra",40.204759,-8.421371,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Apis mellifera, by H Gaspar","ZOO.0030390"
"Xylocopa",NA,"violacea",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1962,3,4,63,63,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Xylocopa violacea, by Manuel Assunção Diniz","ZOO.0026195"
"Panurgus",NA,"calcaratus",NA,"PT","Setúbal","Lagoa de Albufeira",38.507761,-9.177246,1e-06,1951,5,3,123,123,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurgus calcaratus, by Manuel Assunção Diniz","ZOO.0017846"
"Lasioglossum",NA,"mesosclerum",NA,"PT","Beja","Aljustrel",37.874845,-8.165612,1e-06,1953,7,1,182,182,"Nuno Freire de Andrade","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019341"
"Bombus",NA,"humilis",NA,"PT","Aveiro","Buçaco",40.374868,-8.364734,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus pascuorum, by Manuel Assunção Diniz","ZOO.0026252"
"Halictus",NA,"scabiosae",NA,"PT","Coimbra","Coimbra",40.204759,-8.421371,1e-06,NA,NA,NA,NA,NA,"André","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus scabiosae, by Manuel Assunção Diniz","ZOO.0018783"
"Andrena",NA,"dorsata",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,3,17,77,77,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena propinqua, by Klaus Warncke","ZOO.0027421"
"Bombus",NA,"sylvarum",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1971,6,26,177,177,"Manuel Assunção Diniz","Pierre Rasmont;Guillaume Ghisbain",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus humilis, by Manuel Assunção Diniz","ZOO.0026807"
"Anthophora",NA,"dispar",NA,"PT","Castelo Branco","Fundão",40.136982,-7.50062,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora sp., by H Gaspar","ZOO.0029804"
