"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Bombus","Alpigenobombus","wurflenii","pyrenaicus","Spain","Girona","Nuria",NA,NA,NA,2015,7,10,NA,NA,"C. Ornosa",NA,0,0,1,1,"https://doi.org/10.11646/zootaxa.4237.1.3",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","",""
"Bombus","Alpigenobombus","wurflenii","pyrenaicus","Spain","Girona","Nuria, Bosc de la Verge",NA,NA,NA,2009,7,24,NA,NA,"C. Ornosa",NA,0,0,1,1,"https://doi.org/10.11646/zootaxa.4237.1.4",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","",""
"Bombus","Alpigenobombus","wurflenii","pyrenaicus","Spain","Girona","La Molina, Roc Blanco",NA,NA,NA,2009,7,25,NA,NA,"C. Ornosa",NA,0,0,1,1,"https://doi.org/10.11646/zootaxa.4237.1.5",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","",""
"Bombus","Alpigenobombus","wurflenii","pyrenaicus","Spain","Huesca","Ordesa, Gradas de Soaso",NA,NA,NA,2006,7,4,NA,NA,"C. Ornosa",NA,0,0,1,1,"https://doi.org/10.11646/zootaxa.4237.1.6",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","",""
"Bombus","Alpigenobombus","wurflenii","pyrenaicus","Spain","Huesca","Ordesa, Gradas de Soaso",NA,NA,NA,2013,7,10,NA,NA,"C. Ornosa",NA,1,0,0,0,"https://doi.org/10.11646/zootaxa.4237.1.7",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","","Female queen"
"Bombus","Alpigenobombus","wurflenii","pyrenaicus","Spain","Huesca","Ordesa, Gradas de Soaso",NA,NA,NA,2014,8,8,NA,NA,"E. Acosta",NA,2,0,0,0,"https://doi.org/10.11646/zootaxa.4237.1.8",NA,"UMU","Ornosa, C.; Torres, F. & de la Rua, P.","","Female queen"
"Bombus","Alpigenobombus","wurflenii","pyrenaicus","Spain","Lleida","Baños de Tredos",NA,NA,NA,2014,7,10,NA,NA,"C. Ornosa",NA,1,0,0,0,"https://doi.org/10.11646/zootaxa.4237.1.9",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","","Female queen"
"Bombus","Bombus","lucorum","lucorum","Andorra","Soldeu","Soldeu",NA,NA,NA,2006,7,28,NA,NA,"C. Ornosa",NA,0,1,0,0,"https://doi.org/10.11646/zootaxa.4237.1.10",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","",""
"Bombus","Bombus","lucorum","lucorum","Spain","Girona","Campodron, ski resort",NA,NA,NA,2009,7,9,NA,NA,"C. Ornosa",NA,0,2,4,0,"https://doi.org/10.11646/zootaxa.4237.1.11",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","",""
"Bombus","Bombus","lucorum","lucorum","Spain","Girona","Campodron, ski resort",NA,NA,NA,2015,7,8,NA,NA,"C. Ornosa",NA,0,0,1,1,"https://doi.org/10.11646/zootaxa.4237.1.12",NA,"UCME","Ornosa, C.; Torres, F. & de la Rua, P.","",""
