"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Apis",NA,"mellifera",NA,"Spain","Sevilla","41012 Sevilla, Españ",37.3582809722,-5.9892929722,NA,2022,"03","14",NA,NA,"Online_Alejandroro","Online_Alejandroro",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_5"
"Apis",NA,"mellifera",NA,"Portugal",NA,"Rua dos Lírios, Belas, Lisboa, P",38.7714395095,-9.2550727842,23,2022,"03","01",NA,NA,"Online_Rafael_pires","Online_Rafael_pires",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_8"
"Bombus",NA,"terrestris",NA,"Portugal",NA,"Rua Dr João Soares, Lisboa, Lisboa, P",38.7557817489,-9.1570144148,23,2022,"02","04",NA,NA,"Online_Rafael_pires","Online_Rafael_pires",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_11"
"Apis",NA,"mellifera",NA,"Spain","Madrid","Madrid, Españ",40.60551,-3.764415,NA,2022,"03","13",NA,NA,"Online_Arseniogonzalez-Anapri","Online_Arseniogonzalez-Anapri",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_12"
"Apis",NA,"mellifera",NA,"Spain","Madrid","Madrid, Españ",40.6054716667,-3.7644133333,NA,2022,"03","13",NA,NA,"Online_Arseniogonzalez-Anapri","Online_Arseniogonzalez-Anapri",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_13"
"Anthophora",NA,"plumipes",NA,"Spain","Madrid","Jerónimos, Madrid, Spai",40.4109204908,-3.6906520827,50,2022,"03","12",NA,NA,"Online_Juan_sphex","Online_Juan_sphex",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_14"
"Apis",NA,"mellifera","iberiensis","Portugal",NA,"Corroios, Portuga",38.6282916667,-9.1515533333,NA,2022,"03","13",NA,NA,"Online_Draposo79","Online_Draposo79",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_18"
"Apis",NA,"mellifera","iberiensis","Portugal",NA,"Corroios, Portuga",38.62832,-9.1515116667,NA,2022,"03","13",NA,NA,"Online_Draposo79","Online_Draposo79",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_19"
"Apis",NA,"mellifera",NA,"Portugal",NA,"Rua Principal, Pedrógão, Centro, P",39.5154180547,-8.6153451804,22,2022,"03","13",NA,NA,"Online_Josueamoroso","Online_Josueamoroso",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_20"
"Anthophora",NA,"plumipes",NA,"Portugal",NA,"4405685 Vila Nova de Gaia, Portuga",41.0786111111,-8.6469444444,NA,2022,"03","13",NA,NA,"Online_Amanithor","Online_Amanithor",0,0,0,1,NA,NA,NA,NA,NA,NA,"i2_inaturalist_21"
