"","x"
"1",""
"2","Amblyteles"
"3","Ammophila"
"4","Ancistrocerus"
"5","Andrena (Chlorandrena)"
"6","Astata"
"7","Bembecinus"
"8","Bembix"
"9","Bombus (Megabombus)"
"10","Bombylius"
"11","Cephus"
"12","Ceramius"
"13","Ceratinacucurbitina"
"14","Cerceris"
"15","Certallum"
"16","Chloromyia"
"17","Chloromyta"
"18","Chrysis"
"19","Cinoglosa"
"20","Colpa"
"21","Conophorus"
"22","Crysura"
"23","Cylindromyia"
"24","Dasyscolia"
"25","Dolichovespula"
"26","Enicopus"
"27","Episyrphus"
"28","Eristalis"
"29","Eumenes"
"30","Eumerus"
"31","Eupeodes"
"32","Fabriciana"
"33","Family"
"34","Gorytes"
"35","Hamearis"
"36","Hemipenthes"
"37","Hylaeus (Prosopis)"
"38","Hymenoptera Sp."
"39","Lestica"
"40","Linnaemya"
"41","Lomatia"
"42","Macroglossum"
"43","Macrophya"
"44","Megascolia"
"45","Mylabris"
"46","Odynerus"
"47","Oedemera"
"48","Oxybelus"
"49","Oxythyrea"
"50","Pangonius"
"51","Parageron"
"52","Paragus"
"53","Philanthus"
"54","Physocephala"
"55","Podalonia"
"56","Polistes"
"57","Polyommatus"
"58","Prionyx"
"59","Psilothrix"
"60","Rhagonycha"
"61","Scabiosa"
"62","Scolia"
"63","Sphaerophoria"
"64","Sphaerophorta"
"65","Spheciade"
"66","Stenopterus"
"67","Stizus"
"68","Styzus"
"69","Syritta"
"70","Syrphus"
"71","Thyridanthrax"
"72","Trichodes"
"73","Tropinota"
"74","Vespula"
"75","Villa"
"76","Volucella"
"77","Zygaena"
