ID,flag,checked,synonym_names,questionable,accepted_name,accepted_subspecies,Notes,
1,Afranthidium schultessii,Afranthidium schulthessii,NA,NA,Afranthidium schulthessii,NA,NA,
2,Amegilla candens,NA,NA,NA,Amegilla fasciata,NA,It is likely that actually Amegilla andresi is also a synonym of A. fasciata (P. Rasmont pers comm),
3,Amegilla canifrons,NA,NA,NA,Remove,NA,Canarian species,
4,Amegilla savignyi,NA,NA,NA,Amegilla magnilabris,NA,If Amgeilla savigyni is distinct,
5,Amegilla talaris,NA,NA,NA,Amegilla albigena,talaris,The status of A. tallaris is not clear,
6,Ammobates major,NA,NA,NA,Ammobates muticus,NA,NA,
7,Andrena aegyptiaca,NA,NA,NA,Remove,NA,Canarian species: Andrena aegyptiaca cannabina,
8,Andrena alfkenella o nana,NA,NA, o ,Remove,NA,alfkenella or nana - identification uncertain,
9,Andrena candida,NA,NA,NA,Remove,NA,Not an Iberian species - delete,
10,Andrena carantonica,NA,NA,NA,Andrena scotica,NA,Great taxonomic confusion over this species,
11,Andrena carbonaria,NA,NA,NA,Andrena pilipes,NA,NA,
12,Andrena chalcogastra,NA,NA,NA,Remove,NA,Canarian species,
13,Andrena clarkella,NA,NA,NA,Andrena clarkella,NA,This species would be new for the Iberian peninsula - possible misidentification? I would be very interested to see this specimen,
14,Andrena curtula,Andrena urdula,NA,NA,Andrena spreta,NA,Great taxonomic confusion over this species,
15,Andrena damara,Andrena avara,NA,NA,Andrena clarkella,NA,Canarian species,
16,Andrena distinguenda,NA,NA,NA,Andrena nitidula,NA,True distinguenda does not occur in Iberia - records almost certaintly refer to nitidula,
17,Andrena espanola,NA,NA,NA,Andrena truncatilabris,espanola,The status of espanola is not completely clear,
18,Andrena florea???,NA,NA,???,Remove,NA,Consider deleting because of the '???' indicating uncertainty over the identification,
19,Andrena floricola,NA,NA,NA,Andrena floricola,NA,NA,
20,Andrena fulvata,NA,NA,NA,Remove,NA,This species is currently unknown from the Iberian peninsula,
21,Andrena gelriae,NA,NA,NA,Andrena gredana,NA,Andrena gelriae s.l. material from Iberia is referrable to A. gredana,
22,Andrena hillana,NA,NA,NA,Remove,NA,Canarian species,
23,Andrena induta,NA,NA,NA,Remove,NA,Not an Iberian species - delete,
24,Andrena isis,Andrena mitis,NA,NA,Remove,NA,Canarian species: Andrena isis canaria,
25,Andrena leptopyga???,NA,NA,???,Remove,NA,Consider deleting because of the '???' indicating uncertainty over the identification,
26,Andrena lineolata,NA,NA,NA,Remove,NA,Canarian species,
27,Andrena macrocephala,NA,Andrena nigripes,NA,Remove,NA,Not an Iberian species - delete,
28,Andrena maderensis,NA,NA,NA,Remove,NA,Madeiran species,
