"","flag","Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid","Original_name","rm","Genus_species","accepted_name"
"1","Afranthidium schulthesii","Afranthidium",NA,"schulthesii",NA,"Spain","Cáceres","Dehesa","40.2091602594485","-6.30317737928625",NA,"2010","6","2",NA,NA,NA,"F. Javier Ortiz Sánchez",NA,NA,NA,"1",NA,NA,NA,"Bornay","Ed04h_Bd2_134","Dehesa","68_Bornay238","Afranthidium schulthesii","Remove","Afranthidium schulthesii","Remove"
"2","Amblyteles armatorius","Amblyteles",NA,"armatorius",NA,"Spain","Teruel","cantavieja",NA,NA,NA,"2021","5","19",NA,NA,"Oscar Aguado","Oscar Aguado",NA,NA,NA,"1",NA,"Eryngium campestre",NA,"Eva Nuñez","temperature: 27",NA,"67_life_polinizadores219","Amblyteles armatorius","Remove","Amblyteles armatorius","Amblyteles armatorius"
"3","Amegilla albifrons","Amegilla",NA,"albifrons",NA,"Spain","Canary Islands","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Erysimum bicolor",NA,"Compiled by J.M. Gomez",NA,NA,"13_Gomez_1","Amegilla albifrons","Remove","Amegilla albifrons","Remove"
"4","Amegilla albifrons","Amegilla",NA,"albifrons",NA,"Spain","Canary Islands","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Erysimum bicolor",NA,"Compiled by J.M. Gomez",NA,NA,"13_Gomez_2","Amegilla albifrons","Remove","Amegilla albifrons","Remove"
"5","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Las Palmas de Gran Canaria","28.06963","-15.45797","","2012",NA,NA,NA,"15/07/2012","Emilio J","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_25975","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"6","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Tenerife, Isla de","28.33204","-16.58121","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Baez & Ortega 1978",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_33909","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"7","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Gran Canaria, Isla de","27.97898","-15.55927","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Baez & Ortega 1978",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_33907","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"8","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Palma: See la Palma, Isla de","28.67084","-17.9162","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Baez & Ortega 1978",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_33908","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"9","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Las Palmas de Gran Canaria","28.06963","-15.45797","","2010",NA,NA,NA,"05/09/2010","Emolio J","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_25081","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"10","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976",NA,"Rasmont P",NA,"13",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11922","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
