Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
Megachile;Neoeutricharaea;apicalis;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;J. Ortiz;NA;NA;NA;UCME;NA
Dioxys;NA;moesta;Parcela de cardo y camino junto a Laguna Tomilla (5);NA;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;C. Ornosa;NA;NA;1;UCME;NA
Megachile;Eutricharaea;pilidens;Parcela de cardo y camino junto a Laguna Tomilla (5);NA;Albacete;España;9;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Megachile;Eutricharaea;pilidens;Crta. Otro lado Camino Hundimiento (6);Lagunas de Ruidera;Ciudad Real;España;9;6;2009;;760;30SWJ096131;C. Ornosa/F Torres;J. Ortiz;NA;NA;1;UCME;NA
Megachile;Eutricharaea;pilidens;Ruta de la Laguna Blanca (8);Lagunas de Ruidera;Albacete;España;10;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;J. Ortiz;NA;NA;1;UCME;NA
Megachile;Eutricharaea;pilidens;Ruta de la Laguna Blanca (8);Lagunas de Ruidera;Albacete;España;10;6;2009;;825;30SWJ156084;C. Ornosa/F Torres;J. Ortiz;NA;NA;1;NA;NA
Coelioxys;Coelioxys;aurolimbata algeriensis;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Coelioxys;Allocoelioxys;echinata;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Megachile;Neoeutricharaea;apicalis;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Megachile;Neoeutricharaea;apicalis;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;NA;1;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Coelioxys;Coelioxys;aurolimbata algeriensis;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Chalicodoma;Pseudomegachile;ericetorum;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;J. Ortiz;NA;1;NA;UCME;NA
Stelis;NA;phaeoptera;Carrizosa (10);Camino de la Umbría;Ciudad Real;España;10;6;2009;;755;30SWH008989;C. Ornosa/F Torres;NA;NA;NA;1;UCME;NA
