Genus;Species;Municipe;Province;Country;Date;Collector;Determined.by;Year.ident;Male;Female;Worker;Procedencia
Megachile;apicalis;NA;Madrid;España;17-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;apicalis;NA;Madrid;España;7-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Megachile;retundata;NA;Madrid;España;15-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Megachile;leachella;NA;Madrid;España;21-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;11-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;7-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;5-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;11-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;11-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;5-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;1-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;7-07-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Stelis;phaeoptera;NA;Madrid;España;29-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Stelis;phaeoptera;NA;Madrid;España;24-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Stelis;phaeoptera;NA;Madrid;España;15-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Coelioxys;aurolimbata;NA;Madrid;España;29-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Chalicedoma;ericetorum;NA;Madrid;España;15-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Chalicedoma;ericetorum;NA;Madrid;España;22-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Chalicedoma;ericetorum;NA;Madrid;España;8-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Chalicedoma;ericetorum;NA;Madrid;España;15-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Chalicedoma;ericetorum;NA;Madrid;España;21-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Chalicedoma;ericetorum;NA;Madrid;España;21-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Chalicedoma;ericetorum;NA;Madrid;España;22-06-1994;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Megachile;leachella;NA;Madrid;España;6-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;16-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;4-07-1995;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;16-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;11-07-1995;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;19-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;22-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;NA;1;NA;UCME
Megachile;leachella;NA;Madrid;España;20-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Megachile;leachella;NA;Madrid;España;16-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Megachile;leachella;NA;Madrid;España;12-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Megachile;leachella;NA;Madrid;España;12-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
Megachile;leachella;NA;Madrid;España;12-06-1995;F.G. Gonzalez;F. G. Gonzalez;NA;1;NA;NA;UCME
