"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determiner","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Chalicodoma ","parietina",NA,"Spain","Granada","Hoya de la Mora. Sierra Nevada",37.0894444444444,-3.38277777777778,"GPS",2009,"June",30,"J.L. Blanco","C. Ornosa",NA,NA,NA,21,"https://doi.org/10/f3pm57.","Linaria aeruginea",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Alicante","Petrel. Arenal de Petrel",38.5097833333333,-0.779047222222222,"GPS",2010,"March",26,"J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10/f3pm57.","Linaria depauperata",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946111111111,"GPS",2010,"April",27,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946111111111,"GPS",2010,"April",28,"J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10/f3pm57.","Linaria platycalyx","13JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2010,"April",28,"J.L. Blanco","C. Ornosa",NA,NA,NA,4,"https://doi.org/10/f3pm57.","Linaria platycalyx","16JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","andrenoides",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2010,"April",28,"J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"April",29,"J.L. Blanco","C. Ornosa",3,2,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis","19JB10, 20JB10, 22JB10, 23JB10, 24JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Cádiz","Zahara de la Sierra. Castillo",36.8404861111111,-5.38946388888889,"GPS",2010,"April",30,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria platycalyx",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthophora","plagiata",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"May",1,"J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis","26JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Chalicodoma","pyrenaica",NA,"Spain","Cádiz","Sendero del Aula de la Naturaleza al Algibe. Los Alcornocales. Alcalá de los Gazules",36.5213611111111,-5.64892222222222,"GPS",2010,"May",1,"J.L. Blanco","C. Ornosa",1,NA,NA,1,"https://doi.org/10/f3pm57.","Linaria tristis","27JB10, 28JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
