Genus;Species;Full name;Country;Province;Locality;Latitude;Longitude;Start date;End date;Collector;Determiner;Source;Female;Male;Worker;Flowers visited;Pollen collected;Host;Any other additional data;Identification notes and queries;Code
Amegilla;andresi;Amegilla andresi;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;;1;;;;;;;
Ammobates;muticus;Ammobates muticus;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;1;1;;;;;;;
Andrena;bimaculata;Andrena bimaculata;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;;1;;;;;;;
Andrena;flavipes;Andrena flavipes;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;2;;;;;;;;
Andrena;fulvicornis;Andrena fulvicornis;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;;1;;;;;;;
Andrena;leucolippa;Andrena leucolippa;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;5;;;;;;;;
Andrena;limata;Andrena limata;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;1;;;;;;;;
Andrena;pilipes;Andrena pilipes;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;4;1;;;;;;;
Anthidiellum;strigatum;Anthidiellum strigatum;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;;1;;;;;;;
Anthophora;bimaculata;Anthophora bimaculata;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;2;1;;;;;;;
Coelioxys;brevis;Coelioxys brevis;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;1;;;;;;;;
Colletes;abeillei;Colletes abeillei;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;;1;;;;;;;
Dasypoda;dusmeti;Dasypoda dusmeti;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;;1;;;;;;;
Dasypoda;visnaga;Dasypoda visnaga;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;;2;;;;;;;
Dioxys;pumilus;Dioxys pumilus;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;1;;;;;;;;
Eucera;clypeata;Eucera clypeata;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;1;;;;;;;;
Eucera;collaris;Eucera collaris;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;3;;;;;;;;
Eucera;elongatula;Eucera elongatula;Spain;Sevilla;Aznalcazar, S of Pinares de Aznalcazar;37,2622;-6,2216;2021-05-21;2021-05-21;T.Wood;T.Wood;TJW Colln.;7;;;;;;;;
