LABEL;coord x;coord y;HABITAT/FIELD PLOT CODE;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;;;;;;
Ed_01b;223444,96725;4454472,42569;Ed01b_Bd1_001;G. González Bornay;2010-05-19;Apis mellifera;1;;;;;;
;;;Ed01b_Bd2_002;G. González Bornay;2010-06-02;Apis mellifera;6;;;;;;
;;;Ed01b_Bd3_003;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;3;;;;;;
;;;Ed01b_Bd3_003;F. Javier Ortiz Sánchez;2010-06-17;Panurgus perezi;2;;;;;;
Ed_01e;223620,335113;4453573,66539;Ed01e_Bd1_004;G. González Bornay;2010-05-19;Apis mellifera;2;;;;;;
;;;Ed01e_Bd2_005;G. González Bornay;2010-06-02;Apis mellifera;4;;;;;;
;;;Ed01e_Bd2_005;F. Javier Ortiz Sánchez;2010-06-02;Dioxys cincta;1;;;;;;
;;;Ed01e_Bd3_006;G. González Bornay;2010-06-17;Apis mellifera;5;;;;;;
;;;Ed01e_Bd3_006;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;1;;;;;;
Ed_01f;222743,495796;4454095,38479;Ed01f_Bd1_007;G. González Bornay;2010-05-19;Apis mellifera;2;;;;;;
;;;Ed01f_Bd2_008;;2010-06-02;;0;;;;;;
;;;Ed01f_Bd3_009;F. Javier Ortiz Sánchez;2010-06-17;Andrena sp.;2;;;;;;
;;;Ed01f_Bd3_009;F. Javier Ortiz Sánchez;2010-06-17;Halictus (Hal.) crenicornis;1;;;;;;
;;;Ed01f_Bd3_009;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;7;;;;;;
;;;Ed01f_Bd3_009;G. González Bornay;2010-06-17;Apis mellifera;2;;;;;;
Ed_01g;222449,754624;4454362,82078;Ed01g_Bd1_010;G. González Bornay;2010-05-19;Apis mellifera;5;;;;;;
;;;Ed01g_Bd2_011;G. González Bornay;2010-06-02;Apis mellifera;2;;;;;;
;;;Ed01g_Bd2_011;F. Javier Ortiz Sánchez;2010-06-02;Panurgus calcaratus;3;;;;;;
;;;Ed01g_Bd3_012;;2010-06-17;;0;;;;;;
Ed_01h;223431,81466;4454257,60006;Ed01h_Bd1_013;G. González Bornay;2010-05-19;Apis mellifera;4;;;;;;
;;;Ed01h_Bd2_014;G. González Bornay;2010-06-02;Apis mellifera;4;;;;;;
;;;Ed01h_Bd3_015;F. Javier Ortiz Sánchez;2010-06-17;Halictus (Hal.) crenicornis;1;;;;;;
;;;Ed01h_Bd3_015;F. Javier Ortiz Sánchez;2010-06-17;Lasioglossum malachurum;1;;;;;;
;;;Ed01h_Bd3_015;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;1;;;;;;
;;;Ed01h_Bd3_015;F. Javier Ortiz Sánchez;2010-06-17;Panurgus cephalotes;4;;;;;;
;;;Ed01h_Bd3_015;F. Javier Ortiz Sánchez;2010-06-17;Panurgus perezi;1;;;;;;
Ed_01i;224405,106303;4455073,06063;Ed01i_Bd1_016;G. González Bornay;2010-05-19;Apis mellifera;7;;;;;;
;;;Ed01i_Bd2_017;G. González Bornay;2010-06-02;Apis mellifera;1;;;;;;
;;;Ed01i_Bd2_017;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;5;;;;;;
;;;Ed01i_Bd3_018;;2010-06-17;;0;;;;;;
Ed_01j;225670,529616;4453374,42278;Ed01j_Bd1_019;G. González Bornay;2010-05-19;Apis mellifera;2;;;;;;
;;;Ed01j_Bd2_020;G. González Bornay;2010-06-02;Apis mellifera;3;;;;;;
;;;Ed01j_Bd2_020;F. Javier Ortiz Sánchez;2010-06-02;Lasioglossum costulatum;1;;;;;;
;;;Ed01j_Bd3_021;G. González Bornay;2010-06-17;Apis mellifera;2;;;;;;
;;;Ed01j_Bd3_021;F. Javier Ortiz Sánchez;2010-06-17;Ceratina cucurbitina;1;;;;;;
;;;Ed01j_Bd3_021;F. Javier Ortiz Sánchez;2010-06-17;Panurgus calcaratus;1;;;;;;
