HABITAT/FIELD PLOTc_ODE;medio;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;
Eo1a_Bd1_1;Olivar;G. González Bornay;2010-04-29;Apis mellifera;3;
Eo1a_Bd2_2;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp1.;1;
Eo1a_Bd2_2;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;
Eo1a_Bd2_2;Olivar;G. González Bornay;2010-05-26;Apis mellifera;4;
Eo1a_Bd2_2;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Eucera barbiventris;1;
Eo1a_Bd3_3;Olivar;G. González Bornay;2010-06-07;Apis mellifera;1;
Eo1a_Bd3_3;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Eucera notata;1;
Eo1b_Bd1_4;Olivar;;2010-04-29;;0;
Eo1b_Bd2_5;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;
Eo1b_Bd2_5;Olivar;G. González Bornay;2010-05-26;Apis mellifera;2;
Eo1b_Bd2_5;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Eucera cf. Hispaliensis;1;
Eo1b_Bd2_5;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Eucera notata;1;
Eo1b_Bd3_6;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Andrena sp. ;1;
Eo1b_Bd3_6;Olivar;G. González Bornay;2010-06-07;Apis mellifera;1;
Eo1b_Bd3_6;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Panurgus cephalotes;1;
Eo1c_Bd1_7;Olivar;F. Javier Ortiz Sánchez;2010-04-29;Andrena sp.;1;
Eo1c_Bd1_7;Olivar;G. González Bornay;2010-04-29;Apis mellifera;1;
Eo1c_Bd2_8;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;2;
Eo1c_Bd2_8;Olivar;G. González Bornay;2010-05-26;Apis mellifera;1;
Eo1c_Bd3_9;Olivar;G. González Bornay;2010-05-26;Apis mellifera;4;
Eo1c_Bd3_9;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Panurgus canescens;1;
Eo1d_Bd1_10;Olivar;;2010-04-29;;0;
Eo1d_Bd2_11;Olivar;;2010-05-26;;0;
Eo1d_Bd3_12;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Andrena sp. ;9;
Eo1d_Bd3_12;Olivar;G. González Bornay;2010-06-07;Apis mellifera;1;
Eo1e_Bd1_13;Olivar;;2010-04-29;;0;
Eo1e_Bd2_14;Olivar;G. González Bornay;2010-05-26;Apis mellifera;2;
Eo1e_Bd2_14;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Bombus (Megabombus) sp.;1;
Eo1e_Bd3_15;Olivar;;2010-06-07;;0;
Eo1f_Bd1_16;Olivar;;2010-04-29;;0;
Eo1f_Bd2_17;Olivar;G. González Bornay;2010-05-26;Apis mellifera;5;
Eo1f_Bd2_17;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Lasioglossum malachurum;1;
Eo1f_Bd3_18;Olivar;;2010-06-07;;0;
Eo1g_Bd1_19;Olivar;G. González Bornay;2010-04-29;Apis mellifera;7;
Eo1g_Bd2_20;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp. ;3;
Eo1g_Bd2_20;Olivar;G. González Bornay;2010-05-26;Apis mellifera;1;
Eo1g_Bd3_21;Olivar;;2010-06-07;;0;
Eo1h_Bd1_22;Olivar;G. González Bornay;2010-04-29;Apis mellifera;4;
Eo1h_Bd2_23;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Anthophora plumipes;1;
Eo1h_Bd2_23;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Anthophora salviae;1;
Eo1h_Bd2_23;Olivar;G. González Bornay;2010-05-26;Apis mellifera;1;
Eo1h_Bd3_24;Olivar;;2010-06-07;;0;
Eo1j_Bd1_25;Olivar;;2010-04-29;;0;
Eo1j_Bd2_26;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp. ;1;
Eo1j_Bd2_26;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Colletes sp.;1;
Eo1j_Bd2_26;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Panurgus calcaratus;2;
Eo1j_Bd2_26;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Panurgus cephalotes;1;
Eo1j_Bd3_27;Olivar;;2010-06-07;;0;
Eo1la_Bd1_28;Olivar;;2010-04-29;;0;
Eo1la_Bd2_29;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;
Eo1la_Bd2_29;Olivar;G. González Bornay;2010-05-26;Apis mellifera;1;
Eo1la_Bd3_30;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Andrena pilipes;1;
Eo1la_Bd3_30;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Anthidium punctatum;1;
Eo1la_Bd3_30;Olivar;G. González Bornay;2010-06-07;Apis mellifera;1;
Eo1lb_Bd1_31;Olivar;;2010-04-29;;0;
Eo1lb_Bd2_32;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;2;
Eo1lb_Bd3_33;Olivar;;2010-06-07;;0;
Eo2a_Bd1_34;Olivar;F. Javier Ortiz Sánchez;2010-04-29;Andrena sp.;3;
Eo2a_Bd1_34;Olivar;F. Javier Ortiz Sánchez;2010-04-29;Bombus terrestris lusitanicus;1;
Eo2a_Bd2_35;Olivar;;2010-05-26;;0;
Eo2a_Bd3_36;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Andrena (micro) sp.;1;
Eo2a_Bd3_36;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Lasioglossum (Lasiog.) sp.;1;
Eo2b_Bd1_37;Olivar;;2010-04-29;;0;
Eo2b_Bd2_38;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Bombus terrestris terrestris;2;
Eo2b_Bd3_39;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Nomada discrepans;1;
Eo2c_Bd1_40;Olivar;G. González Bornay;2010-04-29;Apis mellifera;6;
Eo2c_Bd2_41;Olivar;G. González Bornay;2010-05-26;Apis mellifera;3;
Eo2c_Bd2_41;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Eucera barbiventris;1;
Eo2c_Bd3_42;Olivar;F. Javier Ortiz Sánchez;2010-06-07;Andrena sp. ;1;E
Eo2c_Bd3_42;Olivar;G. González Bornay;2010-06-07;Apis mellifera;1;
Eo2d_Bd1_43;Olivar;F. Javier Ortiz Sánchez;2010-04-29;Andrena sp.;2;
Eo2d_Bd2_44;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Synhalonia alternans;1;
Eo2d_Bd3_45;Olivar;;2010-06-07;;0;
Eo3a_Bd1_46;Olivar;;2010-04-28;;0;
Eo3a_Bd2_47;Olivar;G. González Bornay;2010-05-26;Apis mellifera;5;
Eo3a_Bd2_47;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Nomada sanguinea;1;
Eo3a_Bd3_48;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum (Lasiog.) sp.;1;
Eo3a_Bd3_48;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Panurgus calcaratus;1;
Eo3a_Bd3_48;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Panurgus perezi;1;
Eo3c_Bd1_49;Olivar;;2010-04-28;;0;
Eo3c_Bd2_50;Olivar;;2010-05-26;;0;
Eo3c_Bd3_51;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Andrena sp.;1;
Eo3c_Bd3_51;Olivar;G. González Bornay;2010-06-08;Apis mellifera;3;
Eo3c_Bd3_51;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Eucera codinai;1;
Eo3d_Bd1_52;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Andrena sp.;2;
Eo3d_Bd2_53;Olivar;;2010-05-26;;0;
Eo3d_Bd3_54;Olivar;;2010-06-08;;0;
Eo3e_Bd1_55;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Andrena sp.;1;
Eo3e_Bd1_55;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Anthophora plumipes;1;
Eo3e_Bd1_55;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Lasioglossum leucozonium;1;
Eo3e_Bd2_56;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Bombus terrestris lusitanicus;1;
Eo3e_Bd2_56;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Lasioglossum costulatum;1;
Eo3e_Bd3_57;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Halictus crenicornis;1;
Eo3e_Bd3_57;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum malachurum;1;
Eo3e_Bd3_57;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Lasioglossum costulatum;1;
Eo3e_Bd3_57;Olivar;F. Javier Ortiz Sánchez;2010-06-08;Panurgus calcaratus;3;
Eo3f_Bd1_58;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Andrena sp.;1;
Eo3f_Bd1_58;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Anthophora plumipes;1;
Eo3f_Bd1_58;Olivar;G. González Bornay;2010-05-26;Apis mellifera;7;
Eo3f_Bd1_58;Olivar;F. Javier Ortiz Sánchez;2010-05-26;Bombus terrestris lusitanicus;1;
Eo3f_Bd1_58;Olivar;F. Javier Ortiz Sánchez;2010-04-28;Ceratina cucurbitina;1;
Eo3f_Bd2_59;Olivar;G. González Bornay;2010-05-26;Apis mellifera;1;
Eo3f_Bd3_60;Olivar;G. González Bornay;2010-06-08;Apis mellifera;1;
