Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries;uid
Bombus ;Bombus;terretris;ferrugineus;Spain;Avila;Becedas;40.40396;-5.66322;30TTK7476;1977;8;6;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;2;0;0;NA;NA;NA;NA;Altitud:1090m;NA;64_ornosa_1
Bombus ;Bombus;terretris;ferrugineus;Spain;Avila;Losar;40.38861;-5.54482;30TTK8474;1977;9;27;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;1;0;0;NA;NA;NA;NA;Altitud:1000m;NA;64_ornosa_2
Bombus ;Bombus;terretris;ferrugineus;Spain;Avila;Neila de San Miguel;40.41323;-5.6518;30TTK7577;1977;8;6;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;0;0;0;NA;NA;NA;NA;Altitud:1150m;NA;64_ornosa_3
Bombus ;Bombus;terretris;ferrugineus;Spain;Avila;San Bartolomé de Béjar;40.40396;-5.66322;30TTK7476;1977;8;6;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;1;0;0;NA;NA;NA;NA;Altitud:1150m;NA;64_ornosa_4
Bombus ;Bombus;terretris;ferrugineus;Spain;Caceres;Baños de Montemayor (a);40.31819;-5.8599;30TTK5767;1978;3;25;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;0;1;0;NA;NA;NA;NA;Altitud:706m;NA;64_ornosa_5
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar;40.40147;-5.76916;30TTK6576;1974;8;9;NA;NA;A.Verdejo;NA;0;1;0;0;NA;NA;NA;NA;Altitud:950m;NA;64_ornosa_6
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar;40.40147;-5.76916;30TTK6576;1977;7;15;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;1;0;0;NA;NA;NA;NA;Altitud:950m;NA;64_ornosa_7
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar;40.40147;-5.76916;30TTK6576;1977;7;23;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;1;0;0;NA;NA;NA;NA;Altitud:950m;NA;64_ornosa_8
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar;40.40147;-5.76916;30TTK6576;1977;7;25;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;0;0;0;NA;NA;NA;NA;Altitud:950m;NA;64_ornosa_9
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar;40.40147;-5.76916;30TTK6576;1977;8;8;NA;NA;C. Ornosa y S.F. Gayubo;NA;2;0;0;0;NA;NA;NA;NA;Altitud:950m;NA;64_ornosa_10
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar;40.40147;-5.76916;30TTK6576;1978;7;5;NA;NA;C.Calvo;NA;0;0;1;0;NA;NA;NA;NA;Altitud:950m;NA;64_ornosa_11
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (El Canalizo);40.36575;-5.75593;30TTK6672;1977;7;10;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;0;0;0;NA;NA;NA;NA;Altitud:1000m;NA;64_ornosa_12
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (Carretera de Aldeacipreste);40.39247;-5.7688;30TTK6575;1977;5;21;NA;NA;C. Ornosa y S.F. Gayubo;NA;3;1;0;0;NA;NA;NA;NA;Altitud:800m;NA;64_ornosa_13
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (Carretera de Ciudad Rodrigo);40.4009;-5.79271;30TTK6376;1977;6;4;NA;NA;C. Ornosa y S.F. Gayubo;NA;2;0;0;0;NA;NA;NA;NA;Altitud:940m;NA;64_ornosa_14
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (Carretera de Ciudad Rodrigo);40.4009;-5.79271;30TTK6376;1977;8;28;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;1;0;0;NA;NA;NA;NA;Altitud:940m;NA;64_ornosa_15
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (El Castañar);40.40118;-5.78094;30TTK6476;1977;7;4;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;4;2;0;NA;NA;NA;NA;Altitud:1080m;NA;64_ornosa_16
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (Llano Alto);40.37447;-5.76806;30TTK6573;1977;7;4;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;1;0;0;NA;NA;NA;NA;Altitud:1150m;NA;64_ornosa_17
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (Monte Mario);40.37362;-5.80336;30TTK6273;1977;7;3;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;0;1;0;NA;NA;NA;NA;Altitud:975m;NA;64_ornosa_18
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Béjar (en Valdesangil);40.40203;-5.74562;30TTK6776;1977;7;21;NA;NA;C. Ornosa y S.F. Gayubo;NA;6;0;0;0;NA;NA;NA;NA;Altitud:1030m;NA;64_ornosa_19
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Calzada de Béjar, La(a);40.40933;-5.81662;30TTK6177;1977;7;11;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;0;0;0;NA;NA;NA;NA;Altitud:810m;NA;64_ornosa_20
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Candelario;40.35703;-5.7438;30TTK6771;1976;5;22;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;0;1;0;NA;NA;NA;NA;Altitud:1126m;NA;64_ornosa_21
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Candelario;40.35703;-5.7438;30TTK6771;1977;7;5;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;1;0;0;NA;NA;NA;NA;Altitud:1126m;NA;64_ornosa_22
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Candelario;40.35703;-5.7438;30TTK6771;1978;10;23;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;0;1;0;NA;NA;NA;NA;Altitud:1126m;NA;64_ornosa_23
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Candelario;40.34887;-5.70815;30TTK7070;1977;9;3;NA;NA;C. Ornosa y S.F. Gayubo;NA;0;1;0;0;NA;NA;NA;NA;Altitud:1650m;NA;64_ornosa_24
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Cantagallo;40.36405;-5.82651;30TTK6072;1977;7;12;NA;NA;C. Ornosa y S.F. Gayubo;NA;3;1;0;0;NA;NA;NA;NA;Altitud:910m;NA;64_ornosa_25
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Fresnedoso;40.43014;-5.69962;30TTK7179;1977;8;5;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;1;0;0;NA;NA;NA;NA;Altitud:1047m;NA;64_ornosa_26
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Hoya, La;40.40314;-5.69854;30TTK7176;1977;7;18;NA;NA;C. Ornosa y S.F. Gayubo;NA;1;0;0;0;NA;NA;NA;NA;Altitud:1250m;NA;64_ornosa_27
Bombus ;Bombus;terretris;ferrugineus;Spain;Salamanca;Navacarros;40.39359;-5.72172;30TTK6975;1977;7;5;NA;NA;C. Ornosa y S.F. Gayubo;NA;7;1;0;0;NA;NA;NA;NA;Altitud:1120m;NA;64_ornosa_28
