ID;Familia;Especie;Fecha;Localidad;Municipio;Provincia;País;Hábitat;Altitud;Hora;Sexo;Recolector;Identificador;Identificador 2;Identificador 3;Fila;Armario/estantería;Balda;Caja;latitud;longitud;Observaciones;Identificación inicial;Otra identificación posterior
BOS-HYM-N00001;Tenthredinidae;Athalia circularis circularis;1979-09-28;Trubia;Oviedo;Asturias;España;Huerta;;;;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00002;Tenthredinidae;Athalia circularis circularis;1979-10-28;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00003;Tenthredinidae;Athalia circularis circularis;1979-10-05;Llantrales;Grado;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00004;Tenthredinidae;Athalia circularis circularis;1979-10-05;Llantrales;Grado;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00005;Tenthredinidae;Athalia circularis circularis;1979-09-28;Trubia;Oviedo;Asturias;España;Huerta;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00006;Tenthredinidae;Athalia circularis circularis;1979-09-18;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00007;Tenthredinidae;Athalia circularis circularis;1976-08-18;Trubia;Oviedo;Asturias;España;Huerta;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00008;Tenthredinidae;Athalia circularis circularis;1980-09-02;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00009;Tenthredinidae;Athalia rufoscutellata;1981-09-15;Trubia;Oviedo;Asturias;España;Prado con frutales;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00010;Tenthredinidae;Selandria serva;_/05/1976;Pola de Siero;Siero;Asturias;España;;;;Hembra;Carmen S. Lavin;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00011;Tenthredinidae;Selandria padi;1976-07-28;Trubia;Oviedo;Asturias;España;Prado;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00012;Tenthredinidae;Selandria padi;1980-06-12;Trubia;Oviedo;Asturias;España;Huerta;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00013;Tenthredinidae;Selandria morio;1980-06-18;Trubia;Oviedo;Asturias;España;Prado;;;Macho;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
BOS-HYM-N00014;Tenthredinidae;Selandria morio;1977-03-13;Trubia;Oviedo;Asturias;España;Bosque;;;Hembra;P. Ciscar;P. Ciscar;;;1;3;;3.1;;;;;
