id;FAMILIA;GeNERO;SUBGÃ‰NERO;ESPECIE;SUBESPECIE;SEXO;DÃA;MES;AÃ‘O;LOCALIDAD;PROVINCIA;COLECTOR;DETERMINADOR;en quÃ© planta
OA1;NA;Dasypoda;NA;altercator;NA;Macho;22;8;2016;Zamaduenas;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA2;NA;Dasypoda;NA;altercator;NA;NA;17;7;2016;San Bernardo;Va;G. Aguado;NA;NA
OA3;NA;Dasypoda;NA;altercator;NA;Hembra;12;7;2016;Zamaduenas;Va;G. Aguado;NA;Taraxacum officinalis
OA4;NA;Dasypoda;NA;altercator;NA;NA;10;6;2016;Hornillos de Eresma;Va;G. Aguado;NA;Cirsium arvense
OA5;NA;Colletes;NA;sp;NA;NA;10;6;2016;Hornillos de Eresma;Va;G. Aguado;NA;Thapsia villosa
OA6;NA;Colletes;NA;sp;NA;NA;10;6;2016;Olmedo;Va;G. Aguado;NA;Thapsia villosa
OA7;NA;Colletes;NA;sp;NA;NA;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;NA;Eryngium campestre
OA8;NA;Dasypoda;NA;cingulata;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA9;NA;Dasypoda;NA;cingulata;NA;Macho;12;7;2016;Zamaduenas;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA10;NA;Dasypoda;NA;cingulata;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA11;NA;Dasypoda;NA;cingulata;NA;Macho;17;7;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA12;NA;Dasypoda;NA;cingulata;NA;Macho;11;6;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Achillea millefolium
OA13;NA;Dasypoda;NA;cingulata;NA;Macho;17;7;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA14;NA;Dasypoda;NA;visnaga;NA;Macho;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA15;NA;Dasypoda;NA;visnaga;NA;Hembra;17;7;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA16;NA;Dasypoda;NA;visnaga;NA;Macho;17;7;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA17;NA;Dasypoda;NA;visnaga;NA;Macho;11;6;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA18;NA;Dasypoda;NA;visnaga;NA;Macho;17;7;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA19;NA;Dasypoda;NA;visnaga;NA;Macho;17;7;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA20;NA;Dasypoda;NA;visnaga;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA21;NA;Dasypoda;NA;visnaga;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA22;NA;Dasypoda;NA;visnaga;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA23;NA;Dasypoda;NA;visnaga;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
OA24;NA;Dasypoda;NA;visnaga;NA;Macho;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA25;NA;Dasypoda;NA;visnaga;NA;Macho;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA26;NA;Dasypoda;NA;visnaga;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA27;NA;Dasypoda;NA;visnaga;NA;Hembra;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Cichorium Intybus
OA28;NA;Panurgus;NA;calcaratus;NA;Macho;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;Taraxacum officinalis
