Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Andrena;NA;incertae;sedis;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Andrena;NA;hypopolia;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Andrena;Plastandrena;bimaculata;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Panurgus;Panurgus;calcaratus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Panurgus;Panurgus;cephalotes;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Pasites;NA;maculatus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Amegilla;Amegilla;garrula;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Amegilla;Amegilla;quadrifasciata;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Amegilla;Zebramegilla;albigena;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Apis;Apis;mellifera;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Bombus;Bombus;terrestris;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Bombus;Melanobombus;lapidarius;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Ceratina;cucurbitina;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Dalyatina;parvula;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Euceratina;callosa;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Ceratina;Euceratina;chalcites;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
