Catalogue;N_EJS;FAMILIA;SUBFAMILIA;GENERO;SUBGEN;ESPECIE;AUT_TAXON;LOCALIDAD_ORIG;LOCALIDAD_ACTUAL;MUNICIPIO;PROVINCIA;AUTONOMIA;PAIS;Fecha colecta en etiqueta;fecha standard;COLECTOR;ALTITUD;UTM;SEXO;PROCEDENCIA;DETERM;ANHO_DETERM
MNCN_Ent 220373;1;Andrenidae;Andreninae;Andrena;Trachandrena;haemorrhoa;(Fabricius, 1781);Hispanagar, Villalonquéjar, Burgos;Villalonquéjar;Burgos;Burgos;Castilla y León;España;18/04/1977;18/04/1977;F. de la Torre;;;hembra;ex. Col. F. de la Torre;P. Álvarez;2022
MNCN_Ent 280271;1;Colletidae;Hylaeinae;Hylaeus;Prosopis;confusus;Nylander, 1852;Campomanes;Campomanes;Lena;Asturias;Asturias;España;18-IX-1972;18/09/1972;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2023
MNCN_Ent 288738;1;Andrenidae;Andreninae;Andrena;Plastandrena;pilipes;Fabricius, 1781;Armada (Lena) (Asturias);Armada;Lena;Asturias;Asturias;España;12-VIII-2018;12/08/2018;F. Fresno;;;hembra;;P. Álvarez;2022
MNCN_Ent 290898;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;1-V-2008;01/05/2008;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290899;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;12.04.2017;12/04/2017;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290900;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;12.04.2017;12/04/2017;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290901;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;12.04.2017;12/04/2017;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290902;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;16.04.2017;16/04/2017;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290903;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;22.04.2017;22/04/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290904;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;22.04.2017;22/04/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290905;1;Megachilidae;Megachilinae;Osmia;Helicosmia;aurulenta;(Panzer, 1799);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;22.04.2017;22/04/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290906;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;24.08.2016;24/08/2016;F. Fresno;;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290907;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;4.VIII.2017;04/08/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290908;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;4.VIII.2017;04/08/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290909;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;16.08.2017;16/08/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290910;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Vega del Rey (Lena, Asturias);Vega del Rey;Lena;Asturias;Asturias;España;16.08.2017;16/08/2017;F. Fresno;;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290912;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;28.07.2016;28/07/2016;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290913;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;13.08.2016;13/08/2016;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290914;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;14.08.2016;14/08/2016;F. Fresno;305 m;;hembra;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290915;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;14.08.2016;14/08/2016;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290916;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;20.08.2016;20/08/2016;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
MNCN_Ent 290917;1;Megachilidae;Megachilinae;Osmia;Hoplosmia;spinulosa;(Kirby, 1802);Pola de Lena (Asturias);Pola de Lena;Lena;Asturias;Asturias;España;20.08.2016;20/08/2016;F. Fresno;305 m;;macho;ex. Colección F. Fresno;P. Álvarez;2022
