"eventID","organismQuantity","organismQuantityType","occurrenceID.x","ScientificName","occurrenceID.y","scientificName","occurrenceRemarks","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","country","countryCode","habitat","samplingProtocol","basisOfRecord","locality","verbatimLocality"
"LIFE4POLL10","na","na","LIFE4POLL10-p-1000007","Lotus dorycnium","LIFE4POLL10-a-1000007","Oedemera sp.","feeding","10/06/2021","44.465212","11.287143","WGS84","Italy","IT","hills","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","IT4050029","observation located in Natura 2000 site with code IT4050029"
"LIFE4POLL100","more than ten","individuals","LIFE4POLL100-p-1000087","Oxalis pes-caprae","LIFE4POLL100-a-1000087","Eristalinus aeneus","resting","07/03/2022","37.50416","15.052536","WGS84","Italy","IT","urban","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
"LIFE4POLL1000","more than ten","individuals","LIFE4POLL1000-p-1000905","Galactites tomentosus","LIFE4POLL1000-a-1000905","Andrena sp.","feeding","20/05/2023","42.371695","-8.936208","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1002","na","na","LIFE4POLL1002-p-1000906","Asteraceae","LIFE4POLL1002-a-1000906","Andrena sp.","na","2023-05-21*","42.376385","-8.93257","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1003","more than ten","individuals","LIFE4POLL1003-p-1000907","Rosa sp.","LIFE4POLL1003-a-1000907","Coleoptera","feeding","20/05/2023","42.372543","-8.93476","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1004","more than ten","individuals","LIFE4POLL1004-p-1000908","Galactites tomentosus","LIFE4POLL1004-a-1000908","Tropinota sp.","mating","20/05/2023","42.3716","-8.934497","WGS84","Spain","ES","island, seaside","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1004","more than ten","individuals","LIFE4POLL1004-p-1000908","Galactites tomentosus","LIFE4POLL1004-a-1002101","Tropinota sp.","mating","20/05/2023","42.3716","-8.934497","WGS84","Spain","ES","island, seaside","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1004","more than ten","individuals","LIFE4POLL1004-p-1002101","Leucanthemum merinoi","LIFE4POLL1004-a-1000908","Tropinota sp.","mating","20/05/2023","42.3716","-8.934497","WGS84","Spain","ES","island, seaside","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1004","more than ten","individuals","LIFE4POLL1004-p-1002101","Leucanthemum merinoi","LIFE4POLL1004-a-1002101","Tropinota sp.","mating","20/05/2023","42.3716","-8.934497","WGS84","Spain","ES","island, seaside","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1005","more than ten","individuals","LIFE4POLL1005-p-1000909","Rubus sp.","LIFE4POLL1005-a-1000909","Oxythyrea funesta","feeding","20/05/2023","42.371636","-8.934299","WGS84","Spain","ES","island, seaside","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
