"","decimalLatitude","decimalLongitude","family","species","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"5",37.3582809722,-5.9892929722,NA,"Apis mellifera",2022,3,14,"alejandroro","alejandroro",NA,NA,"41012 Sevilla, España",NA,"i2_inaturalist_5"
"8",38.7714395095,-9.2550727842,NA,"Apis mellifera",2022,3,1,"rafael_pires","rafael_pires",NA,NA,"Rua dos Lírios, Belas, Lisboa, PT",23,"i2_inaturalist_8"
"11",38.7557817489,-9.1570144148,NA,"Bombus terrestris",2022,2,4,"rafael_pires","rafael_pires",NA,NA,"Rua Dr João Soares, Lisboa, Lisboa, PT",23,"i2_inaturalist_11"
"12",40.60551,-3.764415,NA,"Apis mellifera",2022,3,13,"arseniogonzalez-anapri","arseniogonzalez-anapri",NA,NA,"Madrid, España",NA,"i2_inaturalist_12"
"13",40.6054716667,-3.7644133333,NA,"Apis mellifera",2022,3,13,"arseniogonzalez-anapri","arseniogonzalez-anapri",NA,NA,"Madrid, España",NA,"i2_inaturalist_13"
"14",40.4109204908,-3.6906520827,NA,"Anthophora plumipes",2022,3,12,"juan_sphex","juan_sphex",NA,NA,"Jerónimos, Madrid, Spain",50,"i2_inaturalist_14"
"18",38.6282916667,-9.1515533333,NA,"Apis mellifera iberiensis",2022,3,13,"draposo79","draposo79",NA,NA,"Corroios, Portugal",NA,"i2_inaturalist_18"
"19",38.62832,-9.1515116667,NA,"Apis mellifera iberiensis",2022,3,13,"draposo79","draposo79",NA,NA,"Corroios, Portugal",NA,"i2_inaturalist_19"
"20",39.5154180547,-8.6153451804,NA,"Apis mellifera",2022,3,13,"josueamoroso","josueamoroso",NA,NA,"Rua Principal, Pedrógão, Centro, PT",22,"i2_inaturalist_20"
"21",41.0786111111,-8.6469444444,NA,"Anthophora plumipes",2022,3,13,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_21"
"22",41.0783333333,-8.6469444444,NA,"Bombus pascuorum",2022,3,13,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_22"
"23",41.0783333333,-8.6469444444,NA,"Bombus pascuorum",2022,3,13,"amanithor","amanithor",NA,NA,"4405-685 Vila Nova de Gaia, Portugal",NA,"i2_inaturalist_23"
"24",38.792556,-9.389338,NA,"Bombus terrestris lusitanicus",2022,3,13,"maremimar","maremimar",NA,NA,"Castelo dos Mouros, Sintra",NA,"i2_inaturalist_24"
"25",40.7113166667,-8.34425,NA,"Bombus terrestris",2022,3,13,"jumak16","jumak16",NA,NA,"3740 Cedrim, Portugal",NA,"i2_inaturalist_25"
"26",37.98019,-4.292467,NA,"Apis mellifera iberiensis",2022,3,13,"manuel_m","manuel_m",NA,NA,"14640 Villa del Río, Córdoba, España",NA,"i2_inaturalist_26"
"27",38.7099643,-9.4129687997,NA,"Apis mellifera",2022,3,13,"vproenca","vproenca",NA,NA,"Rua Dr. Armando Bacelar, 2750-805 Cascais, Portugal",NA,"i2_inaturalist_27"
"29",38.7700723013,-9.1578296934,NA,"Xylocopa violacea",2022,3,13,"dan__","dan__",NA,NA,"Parque da Quinta das Conchas, Lisboa, Lisboa, PT",225,"i2_inaturalist_29"
"35",39.1109799,-9.3583613,NA,"Apis mellifera",2022,3,6,"scrferreira","scrferreira",NA,NA,"Secarias, 2560 Silveira, Portugal",348,"i2_inaturalist_35"
"36",36.6303709722,-4.532427,NA,"Apis mellifera",2022,3,13,"daragones","daragones",NA,NA,"29620 Torremolinos, Málaga, España",NA,"i2_inaturalist_36"
