Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Altitud;GPS.(N);GPS.(E);Collector;Determined.by;Year.ident;Male;Female;Worker;Proced
Bombus ;Bombus;terrestris;Guadalajara;Guadalajara;Guadalajara;España;10-05-1983;NA;NA;NA;Antonio Rodríguez;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Villares del Saz;Villares del Saz;Cuenca;España;25-06-1986;NA;NA;NA;Isaac Vega;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Cerceda;Cerceda;Madrid;España;20-05-1986;NA;NA;NA;J.A. Díaz;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;El Espinar;El Espinar;Segovia;España;22-05-1986;NA;NA;NA;J. Sandoz;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Algete;Algete;Madrid;España;21-06-1986;NA;NA;NA;A. Pérez;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;04-09-1983;NA;NA;NA;Manuel Galdón;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;13-07-1982;NA;NA;NA;B. Delgado;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Saelices del Río;Saelices del Río;León;España;01-08-1977;NA;NA;NA;V. Santos Vega;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Ciudad Universitaria;Madrid;Madrid;España;01-04-1986;NA;NA;NA;E. Manzanera;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Salnes;Salnes;Pontevedra;España;01-04-1986;NA;NA;NA;J. Alonso;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Llanes;Llanes;Asturias;España;01-04-1986;NA;NA;NA;M.A. Valladares;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Barajas;Madrid;Madrid;España;01-06-1986;NA;NA;NA;Soledad Fernández;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;15-09-1985;NA;NA;NA;J.M. Vera;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Barrio de Moratalaz;Madrid;Madrid;España;10-05-1981;NA;NA;NA;Paloma Fraguio;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Barcelona;Barcelona;Barcelona;España;01-08-1985;NA;NA;NA;J. Herrero;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Cazorla;Cazorla;Jaén;España;01-05-1986;NA;NA;NA;S. Lorente;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Valdemorillo;Madrid;Madrid;España;13-05-1980;NA;NA;NA;-;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Marbella;Marbella;Málaga;España;26-04-1986;NA;NA;NA;M. Escobar;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;El Escorial;Madrid;Madrid;España;10-06-1981;NA;NA;NA;M. Garijo;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;02-08-1978;NA;NA;NA;M.A. Jardio;C. Ornosa;2014;macho;0;;UCME/CACLM
Bombus ;Bombus;terrestris;Casa de Campo;Madrid;Madrid;España;14-05-1981;NA;NA;NA;Rosa Feijoo;C. Ornosa;2014;macho;0;;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-04-1980;NA;NA;NA;Gonzalo García Pérez;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Parque del Oeste;Madrid;Madrid;España;15-06-1980;NA;NA;NA;R. Gil;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Casa de Campo;Madrid;Madrid;España;01-08-1981;NA;NA;NA;Mª Ángeles Bermejo;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Peguerinos;Ávila;Ávila;España;09-04-1980;NA;NA;NA;Julio César;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;13-05-1983;NA;NA;NA;L.J. Escorda;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-05-1981;NA;NA;NA;J. Quiroga;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Becerril de la Sierra;Madrid;Madrid;España;18-06-1983;NA;NA;NA;P. Nicolas;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-07-1981;NA;NA;NA;-;C. Ornosa;2014;macho;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-05-1978;NA;NA;NA;I.S.R.;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;10-04-1985;NA;NA;NA;J. José González;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-07-1980;NA;NA;NA;Juliana García;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Mallorca;Mallorca;Mallorca;España;01-04-1977;NA;NA;NA;Pilar Sarriera;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Alsasua;Alsasua;Navarra;España;01-08-1984;NA;NA;NA;Fernanda E. N.;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;F. del Fresno;Madrid;Madrid;España;19-06-1986;NA;NA;NA;Rosa de la Torre;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;El Tiemblo;Ávila;Ávila;España;23-07-1980;NA;NA;NA;Manolo Escalonilla;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Casa de Campo;Madrid;Madrid;España;01-08-1978;NA;NA;NA;-;C. Ornosa;2014;macho;0;;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;22-05-1982;NA;NA;NA;R. Indart;C. Ornosa;2014;macho;0;;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;16-05-1982;NA;NA;NA;I. Bartolomé Tejedor;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-05-1979;NA;NA;NA;L. Martínez;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-06-1979;NA;NA;NA;J.M. Hernández;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;El Molar;Madrid;Madrid;España;01-05-1978;NA;NA;NA;-;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;24-05-1977;NA;NA;NA;-;C. Ornosa;2014;macho;-;;UCME/CACLM
Bombus ;Bombus;terrestris;Torrejón;Madrid;Madrid;España;01-06-1979;NA;NA;NA;-;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Comarruga;Comarruga;Tarragona;España;01-08-1983;NA;NA;NA;Teresa García;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Parque del Oeste;Madrid;Madrid;España;25-06-1980;NA;NA;NA;F. Gómez Aguado;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Ciudad Universitaria;Madrid;Madrid;España;05-06-1986;NA;NA;NA;I. Torremocha;C. Ornosa;2014;-;1;;UCME/CACLM
Bombus ;Bombus;terrestris;Madrid;Madrid;Madrid;España;01-08-1983;NA;NA;NA;M. Fontanilla;C. Ornosa;2014;macho;-;;UCME/CACLM
Bombus ;Bombus;terrestris;Budia;Budia;Guadalajara;España;01-08-1977;NA;NA;NA;Mª Ángeles Gómez;C. Ornosa;2014;-;0;1;UCME/CACLM
Bombus ;Bombus;terrestris;Ciudad Universitaria;Madrid;Madrid;España;01-05-1982;NA;NA;NA;C. Martínez;C. Ornosa;2014;-;0;1;UCME/CACLM
