Genus;Subgenus;Species;Subspecies;Locality;Municipe;Province;Country;Date;Year;Month;Day;Altitud;GPS.(N);GPS.(O);Collector;Determined.by;Year.ident;Male;Female;Worker;Alcoh/seco;Notes.and.queries
Bombus;Bombus;terrestris;lusitanicus;Carril de los Puros;NA;Murcia;España;2013-05-01;2013;5;1;298;"37°55'1.68""";"1° 5'4.26""";Pilar De la Rúa;C. Ornosa;2014;1;NA;NA;etanol;Anthyllis cytisoides (albaida)17:00:00
Bombus;Bombus;terrestris;lusitanicus;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Pilar De la Rúa;C. Ornosa;2014;NA;0;1;etanol;NA
Bombus;Bombus;terrestris;terretris;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Enrique Acosta;C. Ornosa;2014;NA;0;1;etanol;NA
Bombus;Bombus;terrestris;lusitanicus;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Pilar De la Rúa;C. Ornosa;2014;NA;0;1;etanol;NA
Bombus;Bombus;terrestris;lusitanicus;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Enrique Acosta;C. Ornosa;2014;NA;0;1;etanol;NA
Bombus;Bombus;terrestris;lusitanicus;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Pilar De la Rúa;C. Ornosa;2014;NA;0;1;etanol;NA
Bombus;Bombus;terrestris;lusitanicus;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Enrique Acosta;C. Ornosa;2014;NA;0;1;etanol;NA
Bombus;Bombus;terrestris;terretris;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Pilar De la Rúa;C. Ornosa;2014;NA;0;1;etanol;NA
Bombus;Bombus;terrestris;lusitanicus;Curva de bajada a la Hoya de la Mora;Monachil;Granada;España;2013-08-06;2013;8;6;2646;"37° 5'6.82""";"3°22'54.46""";Enrique Acosta;C. Ornosa;2014;NA;0;1;etanol;NA
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
Chalicodoma;NA;parietina;NA;Al lado de la nieve (2);Monachil;Granada;España;2013-08-06;2013;8;6;2752;"37° 4'43.95""";"3°22'43.03""";Pilar De la Rúa;C. Ornosa;2014;NA;1;0;etanol;Al lado de la nieve
