;ID;site;ITD;Genus;Species;Sex;plant_genus;plant_species;Determined.by;Day;Month;Year
1;1;MEDCA;4.85;Bombus;terrestris;worker;Carpobrotus;edulis;I. Bartomeus;NA;5;2006
2;2;Cap de creus;2.74;Apis;mellifera;worker;Carpobrotus;edulis;I. Bartomeus;NA;5;2006
3;3;MEDCA;3.29;Anthidium;septemspinosum;male;Carpobrotus;edulis;L.O. Aguado;NA;5;2006
4;4;MEDCA;3.75;Anthidium;stictium;male;Cistus;albidus;L.O. Aguado;NA;5;2006
5;5;MEDCA;1.76;Halictus;subauratus;female;Cistus;salvifolius;F.J.Ortiz;5;6;2005
6;6;MED1CA;1.9;Andrena;senecionis;female;Sonchus;tenerrimus;L.O. Aguado;NA;5;2006
7;7;MIQ1OP;1.43;Lasioglossum;pauxillum;female;Eryngium;sp;F.J.Ortiz;6;7;2004
8;8;SEL1OP;0.93;Hylaeus;variegatus;female;Eryngium;sp;F.J.Ortiz;8;7;2004
9;9;BAT2CA;1.24;Lasioglossum;pauxillum;female;Convolvulus;sp;F.J.Ortiz;14;5;2004
10;10;FRA1OP;1.31;Lasioglossum;interruptum;female;Sedum;sp;F.J.Ortiz;22;6;2004
11;11;FRA1OP;1.15;Lasioglossum;gemmeus;male;Eryngium;sp;F.J.Ortiz;22;6;2004
12;12;SEL2OP;1.46;Lasioglossum;interruptum;female;Sedum;sp;F.J.Ortiz;21;6;2004
13;13;FRA2OP;1.49;Lasioglossum;Interruptum;female;Opuntia;sp;F.J.Ortiz;22;6;2004
14;14;Cap de creus;1.31;Lasioglossum;sp;female;Eryngium;sp;;NA;NA;2004
15;15;Cap de creus;1.2;Lasioglossum;interruptum;female;Dianthus;caryophyllus;F.J.Ortiz;NA;NA;2004
16;16;MED2CA;1.75;Lasioglossum;bimaculatum;female;Lavandula;sp;L.O. Aguado;26;4;2004
17;17;FRA1OP;1.6;Lasioglossum;pauxillum;female;Eryngium;sp;F.J.Ortiz;7;4;2004
18;18;SEL1OP;1.41;Lasioglossum;interruptum;female;Sedum;sp;F.J.Ortiz;23;6;2004
19;19;MIQ1OP;1.26;Lasioglossum;pauxillum;female;Sedum;sp;F.J.Ortiz;29;6;2004
20;20;Cap de creus;1.34;Lasioglossum;interruptum;female;Sedum;sp;F.J.Ortiz;NA;NA;2004
