country,year,site_id,landscape_type,transect,period,round,date,temperature,starting_time,interval_in_transect,pollinator_group,pollinator_genus,pollinator_species,pollinator_species.1,morpho_descriptions,collected,plant_genus,plant_species,Gen_sp,Plant_sp,longitude,latitude
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,1,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,2,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,2,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,2,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,2,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,2,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
Spain,2011,Barca,high,1,after,3,5/5/11,26,15:50,2,Honeybee,Apis,mellifera,mellifera,NA,no,Cistus,crispus,Apis_mellifera,Cistus_crispus,-7.1903,37.2949
