"Species_name","Number_of_records"
"Bombus pascuorum",491
"Bombus terrestris",423
"Rhodanthidium septemdentatum",279
"Xylocopa violacea",220
"Rhodanthidium sticticum",132
"Anthidium florentinum",110
"Bombus lapidarius",104
"Ceratina cucurbitina",104
"Hoplitis benoisti",88
"Bombus lucorum",87
"Colletes nigricans",83
"Bombus hortorum",81
"Bombus humilis",77
"Osmia cornuta",77
"Halictus scabiosae",72
"Hoplitis adunca",67
"Bombus ruderarius",64
"Bombus sylvarum",58
"Bombus pratorum",57
"Anthophora bimaculata",56
"Bombus ruderatus",55
"Amegilla quadrifasciata",48
"Lasioglossum malachurum",45
"Andrena flavipes",44
"Anthidium manicatum",44
"Bombus soroeensis",41
"Megachile apicalis",41
"Osmia aurulenta",41
"Panurgus dentipes",40
"Bombus mesomelas",39
"Eucera collaris",38
"Andrena agilissima",37
"Megachile melanopyga",37
"Anthophora plumipes",35
"Halictus subauratus",35
"Megachile ericetorum",34
"Andrena leucolippa",32
"Ceratina cyanea",31
"Andrena antigana",29
"Anthidium cingulatum",29
"Halictus smaragdulus",29
"Thyreus histrionicus",29
"Andrena senecionis",28
"Bombus sichelii",28
"Osmia submicans",28
"Andrena propinqua",27
"Megachile centuncularis",27
"Osmia niveata",27
"Pseudapis diversipes",27
"Sphecodes alternatus",26
"Megachile versicolor",25
"Anthidiellum strigatum",24
"Bombus campestris",24
"Bombus confusus",24
"Bombus pyrenaeus",24
"Melitta leporina",24
"Bombus monticola",23
"Andrena florea",22
"Pseudapis bispinosa",22
"Bombus muscorum",21
"Epeolus fallax",21
"Megachile sculpturalis",21
"Andrena fulva",20
"Anthidium loti",20
"Bombus bohemicus",20
"Bombus wurflenii",20
"Ceratina dallatorreana",20
"Megachile pilidens",20
"Osmia caerulescens",20
"Andrena minutula",19
"Andrena mucida",19
"Andrena nigroaenea",19
"Halictus fulvipes",19
"Osmia bicornis",19
"Andrena spreta",18
"Ceratina chalybea",18
"Dasypoda argentata",18
"Halictus gemmeus",18
"Hylaeus variegatus",18
"Anthidium oblongatum",17
"Dasypoda hirtipes",17
"Megachile lagopoda",17
"Andrena ferrugineicrus",16
"Bombus mendax",16
"Bombus rupestris",16
"Ceratina chalcites",16
"Hoplitis acuticornis",16
"Hoplitis anthocopoides",16
"Lasioglossum interruptum",16
"Andrena dorsata",15
"Andrena ovatula",15
"Dasypoda dusmeti",15
"Lasioglossum pauxillum",15
"Lasioglossum transitorium",15
"Melitturga caudata",15
"Andrena lagopus",14
"Colletes similis",14
"Hoplitis leucomelana",14
"Hylaeus hyalinatus",14
"Lasioglossum leucozonium",14
"Megachile maritima",14
"Melitta tricincta",14
"Bombus sylvestris",13
"Megachile leachella",13
"Osmia latreillei",13
"Bombus mucidus",12
"Halictus maculatus",12
"Lasioglossum morio",12
"Lasioglossum villosulum",12
"Megachile albisecta",12
"Megachile pyrenaea",12
"Amegilla albigena",11
"Bombus flavidus",11
"Bombus hypnorum",11
"Eucera nigrilabris",11
"Melecta albifrons",11
"Osmia andrenoides",11
"Panurgus calcaratus",11
"Thyreus ramosus",11
"Amegilla fasciata",10
"Chelostoma distinctum",10
"Halictus sexcinctus",10
"Nomada sexfasciata",10
"Osmia fallax",10
"Xylocopa iris",10
"Andrena thoracica",9
"Bombus subterraneus",9
"Ceratina callosa",9
"Colletes hederae",9
"Lasioglossum bimaculatum",9
"Lasioglossum discum",9
"Osmia rufohirta",9
"Pasites maculatus",9
"Andrena bimaculata",8
"Andrena hesperia",8
"Andrena tenuistriata",8
"Andrena wilkella",8
"Anthophora crinipes",8
"Bombus gerstaeckeri",8
"Bombus quadricolor",8
"Colletes abeillei",8
"Halictus crenicornis",8
"Lasioglossum calceatum",8
"Lasioglossum zonulum",8
"Melitta dimidiata",8
"Nomada cristata",8
"Andrena cineraria",7
"Andrena hattorfiana",7
"Andrena labiata",7
"Andrena nigroolivacea",7
"Anthophora femorata",7
"Bombus cullumanus",7
"Colletes pulchellus",7
"Halictus rubicundus",7
"Lasioglossum albocinctum",7
"Lithurgus chrysurus",7
"Megachile pusilla",7
"Panurgus cephalotes",7
"Xylocopa valga",7
"Amegilla garrula",6
"Andrena albopunctata",6
"Andrena limata",6
"Andrena morio",6
"Andrena nana",6
"Andrena pilipes",6
"Andrena rhenana",6
"Anthophora dispar",6
"Bombus barbutellus",6
"Ceylalictus variegatus",6
"Coelioxys afer",6
"Heriades crenulatus",6
"Hoplitis papaveris",6
"Hylaeus gibbus",6
"Megachile deceptoria",6
"Megachile parietina",6
"Nomada linsenmaieri",6
"Nomada merceti",6
"Nomada panurgina",6
"Nomada sanguinea",6
"Nomada succincta",6
"Pseudoanthidium scapulare",6
"Sphecodes ruficrus",6
"Stelis signata",6
"Thyreus hirtus",6
"Andrena asperrima",5
"Andrena colletiformis",5
"Andrena farinosa",5
"Andrena hispania",5
"Andrena hypopolia",5
"Andrena similis",5
"Anthophora pubescens",5
"Anthophora quadrimaculata",5
"Colletes fodiens",5
"Colletes foveolaris",5
"Dasypoda crassicornis",5
"Halictus gavarnicus",5
"Hoplitis antigae",5
"Hylaeus punctatus",5
"Lasioglossum aureolum",5
"Lasioglossum brevicorne",5
"Lasioglossum fulvicorne",5
"Lasioglossum nigripes",5
"Lasioglossum nitidulum",5
"Lasioglossum politum",5
"Lasioglossum prasinum",5
"Lasioglossum smeathmanellum",5
"Megachile willughbiella",5
"Nomada bifasciata",5
"Nomioides facilis",5
"Osmia melanogaster",5
"Osmia notata",5
"Panurginus albopilosus",5
"Sphecodes albilabris",5
"Thyreus affinis",5
"Trachusa interrupta",5
"Ammobates punctatus",4
"Andrena verticalis",4
"Andrena vetula",4
"Anthophora canescens",4
"Anthophora crassipes",4
"Chelostoma campanularum",4
"Colletes marginatus",4
"Dioxys cinctus",4
"Dufourea minuta",4
"Epeolus intermedius",4
