"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Osmia","Metallinella","brevicornis",NA,"Spain","La Rioja","La Tejera",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_1"
"Osmia","Metallinella","brevicornis",NA,"Spain","La Rioja","La Tejera",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_2"
"Osmia","Metallinella","brevicornis",NA,"Spain","La Rioja","La Tejera",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_3"
"Osmia","Metallinella","brevicornis",NA,"Spain","La Rioja","La Tejera",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_4"
"Osmia","Metallinella","brevicornis",NA,"Spain","La Rioja","La Tejera",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_5"
"Osmia","Metallinella","brevicornis",NA,"Spain","La Rioja","El Raso",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_6"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Cuesta Laguardia",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_7"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Cuesta Laguardia",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_8"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Cuesta Laguardia",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_9"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Cuesta Laguardia",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_10"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Cuesta Laguardia",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",1,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_11"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Hayedo",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_12"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Hayedo",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_13"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Hayedo",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_14"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Hayedo",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_15"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Hayedo",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_16"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Los Pradillos",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_17"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Los Pradillos",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_18"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Los Pradillos",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_19"
"Hoplitis","Hoplitis","adunca",NA,"Spain","La Rioja","Los Pradillos",NA,NA,NA,2007,NA,NA,NA,NA,"L. Baños","Torres",NA,NA,NA,NA,NA,NA,NA,"J. Ortiz, C. Ornosa, F. Torres",NA,NA,"37_Ortiz_etal_20"
