"","flag","checked","synonym_names","questionable","accepted_name","accepted_subspecies","Notes"
"1","Afranthidium malacopygum",NA,NA,NA,NA,NA,NA
"2","Amegilla albifrons",NA,NA,NA,NA,NA,NA
"3","Amegilla albifrons",NA,NA,NA,NA,NA,NA
"75","Andrena albupunctata",NA,NA,NA,NA,NA,NA
"76","Andrena armata",NA,NA,NA,NA,NA,NA
"77","Andrena armata",NA,NA,NA,NA,NA,NA
"78","Andrena armata",NA,NA,NA,NA,NA,NA
"79","Andrena armata",NA,NA,NA,NA,NA,NA
"80","Andrena benoisti",NA,NA,NA,NA,NA,NA
"81","Andrena benoisti",NA,NA,NA,NA,NA,NA
"82","Andrena benoisti",NA,NA,NA,NA,NA,NA
"83","Andrena benoisti",NA,NA,NA,NA,NA,NA
"84","Andrena benoisti",NA,NA,NA,NA,NA,NA
"85","Andrena benoisti",NA,NA,NA,NA,NA,NA
"86","Andrena benoisti",NA,NA,NA,NA,NA,NA
"87","Andrena benoisti",NA,NA,NA,NA,NA,NA
"88","Andrena benoisti",NA,NA,NA,NA,NA,NA
"89","Andrena benoisti",NA,NA,NA,NA,NA,NA
"222","Andrena coitana",NA,NA,NA,NA,NA,NA
"230","Andrena dourada",NA,NA,NA,NA,NA,NA
"231","Andrena dourada",NA,NA,NA,NA,NA,NA
"232","Andrena dourada",NA,NA,NA,NA,NA,NA
"233","Andrena dourada",NA,NA,NA,NA,NA,NA
"234","Andrena dunningi",NA,NA,NA,NA,NA,NA
"242","Andrena flava",NA,NA,NA,NA,NA,NA
"243","Andrena fortipunctata",NA,NA,NA,NA,NA,NA
"246","Andrena gallica",NA,NA,NA,NA,NA,NA
"247","Andrena gallica",NA,NA,NA,NA,NA,NA
"248","Andrena gallica",NA,NA,NA,NA,NA,NA
"249","Andrena gallica",NA,NA,NA,NA,NA,NA
"266","Andrena hispanica",NA,NA,NA,NA,NA,NA
"276","Andrena juliana",NA,NA,NA,NA,NA,NA
"277","Andrena levante",NA,NA,NA,NA,NA,NA
"278","Andrena levante",NA,NA,NA,NA,NA,NA
"279","Andrena levante",NA,NA,NA,NA,NA,NA
"280","Andrena levante",NA,NA,NA,NA,NA,NA
"281","Andrena levante",NA,NA,NA,NA,NA,NA
"282","Andrena levante",NA,NA,NA,NA,NA,NA
"349","Andrena maderiensis",NA,NA,NA,NA,NA,NA
"364","Andrena minuta",NA,NA,NA,NA,NA,NA
"365","Andrena minuta",NA,NA,NA,NA,NA,NA
"592","Andrena numida",NA,NA,NA,NA,NA,NA
"593","Andrena ocreata",NA,NA,NA,NA,NA,NA
"594","Andrena ornata",NA,NA,NA,NA,NA,NA
"595","Andrena orotavensis",NA,NA,NA,NA,NA,NA
"596","Andrena orotavensis",NA,NA,NA,NA,NA,NA
"597","Andrena parvula",NA,NA,NA,NA,NA,NA
"598","Andrena parvula",NA,NA,NA,NA,NA,NA
"599","Andrena parvula",NA,NA,NA,NA,NA,NA
"602","Andrena quadrimaculata",NA,NA,NA,NA,NA,NA
"959","Andrena strohmella",NA,NA,NA,NA,NA,NA
"960","Andrena strohmella",NA,NA,NA,NA,NA,NA
"961","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"962","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"963","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"964","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"965","Andrena taraxaci",NA,NA,NA,NA,NA,NA
"966","Andrena ternuistriata",NA,NA,NA,NA,NA,NA
"1152","Anthidium blongatum",NA,NA,NA,NA,NA,NA
"1153","Anthidium canariensis",NA,NA,NA,NA,NA,NA
"1154","Anthidium canariensis",NA,NA,NA,NA,NA,NA
"1155","Anthidium canariensis",NA,NA,NA,NA,NA,NA
"1156","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1157","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1158","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1159","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1160","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1161","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1162","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1163","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1164","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1165","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1166","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1167","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1168","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1169","Anthidium florentimun",NA,NA,NA,NA,NA,NA
"1172","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1173","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1174","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1175","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1176","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1177","Anthidium latreillei",NA,NA,NA,NA,NA,NA
"1221","Anthidium stictium",NA,NA,NA,NA,NA,NA
"1224","Anthidium trematum",NA,NA,NA,NA,NA,NA
"1225","Anthidium variegatum",NA,NA,NA,NA,NA,NA
"1226","Anthidium variegatum",NA,NA,NA,NA,NA,NA
"1312","Anthophora californica",NA,NA,NA,NA,NA,NA
"1313","Anthophora californica",NA,NA,NA,NA,NA,NA
"1316","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1317","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1318","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1319","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1320","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1321","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1322","Anthophora hispanicus",NA,NA,NA,NA,NA,NA
"1323","Anthophora liefrincki",NA,NA,NA,NA,NA,NA
"1325","Anthophora nigrocincta",NA,NA,NA,NA,NA,NA
"1408","Anthophora toracica",NA,NA,NA,NA,NA,NA
"1442","Bombus canariensis",NA,NA,NA,NA,NA,NA
"1444","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1445","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1446","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1447","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1448","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1449","Bombus cryptarum",NA,NA,NA,NA,NA,NA
"1555","Bombus montincola",NA,NA,NA,NA,NA,NA
"1556","Bombus montincola",NA,NA,NA,NA,NA,NA
"1557","Bombus montincola",NA,NA,NA,NA,NA,NA
"1558","Bombus montincola",NA,NA,NA,NA,NA,NA
"1559","Bombus montincola",NA,NA,NA,NA,NA,NA
"1560","Bombus montincola",NA,NA,NA,NA,NA,NA
"1561","Bombus montincola",NA,NA,NA,NA,NA,NA
"1618","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1619","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1620","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1621","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1622","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1623","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1624","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1625","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1626","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1627","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1628","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1629","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1630","Bombus subterraneous",NA,NA,NA,NA,NA,NA
"1631","Bombus terrestri",NA,NA,NA,NA,NA,NA
"1632","Bombus wuerflenii",NA,NA,NA,NA,NA,NA
"1633","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1634","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1635","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1636","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1637","Bombus wurfleinii",NA,NA,NA,NA,NA,NA
"1643","Ceratina calybea",NA,NA,NA,NA,NA,NA
"1644","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1645","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1646","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1647","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1648","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1649","Ceratina curcubitina",NA,NA,NA,NA,NA,NA
"1689","Coelioxys auroliubata",NA,NA,NA,NA,NA,NA
"1704","Colletes africana",NA,NA,NA,NA,NA,NA
"1705","Colletes albescens",NA,NA,NA,NA,NA,NA
"1706","Colletes albescens",NA,NA,NA,NA,NA,NA
"1707","Colletes albescens",NA,NA,NA,NA,NA,NA
"1708","Colletes albescens",NA,NA,NA,NA,NA,NA
"1709","Colletes albescens",NA,NA,NA,NA,NA,NA
"1710","Colletes albescens",NA,NA,NA,NA,NA,NA
"1711","Colletes albescens",NA,NA,NA,NA,NA,NA
"1712","Colletes albescens",NA,NA,NA,NA,NA,NA
"1750","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1751","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1752","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1753","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1754","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1755","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1756","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1757","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1758","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1759","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1760","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1761","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1762","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1763","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1764","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1765","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1766","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1767","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1768","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1769","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1770","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1771","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1772","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1773","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1774","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1775","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1776","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1777","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1778","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1779","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1780","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1781","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1782","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1783","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1784","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1785","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1786","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1787","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1788","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1789","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1790","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1791","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1792","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1793","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1794","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1882","Colletes jansmiti",NA,NA,NA,NA,NA,NA
"1883","Colletes moricei",NA,NA,NA,NA,NA,NA
"1884","Colletes moricei",NA,NA,NA,NA,NA,NA
"1885","Colletes moricei",NA,NA,NA,NA,NA,NA
"1886","Colletes moricei",NA,NA,NA,NA,NA,NA
"1887","Colletes moricei",NA,NA,NA,NA,NA,NA
"1888","Colletes moricei",NA,NA,NA,NA,NA,NA
"1889","Colletes moricei",NA,NA,NA,NA,NA,NA
"1890","Colletes moricei",NA,NA,NA,NA,NA,NA
"1891","Colletes moricei",NA,NA,NA,NA,NA,NA
"1892","Colletes moricei",NA,NA,NA,NA,NA,NA
"1893","Colletes moricei",NA,NA,NA,NA,NA,NA
"1894","Colletes moricei",NA,NA,NA,NA,NA,NA
"1895","Colletes moricei",NA,NA,NA,NA,NA,NA
"1896","Colletes moricei",NA,NA,NA,NA,NA,NA
"1897","Colletes moricei",NA,NA,NA,NA,NA,NA
"1898","Colletes perezi",NA,NA,NA,NA,NA,NA
"1899","Colletes perezi",NA,NA,NA,NA,NA,NA
"1900","Colletes perezi",NA,NA,NA,NA,NA,NA
"1927","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1928","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1929","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1930","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1931","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1932","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1933","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1934","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1935","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1936","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1937","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1938","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1939","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1940","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1959","Dioxys tridentata",NA,NA,NA,NA,NA,NA
"1961","Dufourea maura",NA,NA,NA,NA,NA,NA
"1962","Dufourea maura",NA,NA,NA,NA,NA,NA
"1963","Dufourea minta",NA,NA,NA,NA,NA,NA
"1973","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1974","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1975","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1976","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1977","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1978","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1979","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1980","Eucera berlandi",NA,NA,NA,NA,NA,NA
"2036","Eucera gracillipes",NA,NA,NA,NA,NA,NA
