Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Collector;Determined.by;Year.ident;Male;Female;Worker;Proced/caja
Bombus;NA;pascuorum;Jaén. Sierra de Cazorla. Nacimiento del Guadalquivir;NA;NA;España;00-00-2011;JL Blanco;C. Ornosa;2011;NA;0;1;UCM
Bombus;NA;pascuorum;Jaén. Sierra de Cazorla. Nacimiento del Guadalquivir;NA;NA;España;00-00-2011;JL Blanco;C. Ornosa;2011;NA;0;1;UCM
Anthophora;NA; atroalba;Jaén. Sierra de Cazorla. Nacimiento del Guadalquivir;NA;NA;España;00-00-2011;JL Blanco;C. Ornosa;2011;NA;0;1;UCM
Apis ;NA;mellifera;Durón;NA;Guadalajara;España;00-00-2010;P Vargas;C. Ornosa;2011;NA;0;2;Botánico
Apis ;NA;mellifera;Durón;NA;Guadalajara;España;00-00-2010;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Durón;NA;Guadalajara;España;00-00-2010;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Anthophora;NA;plumipes;Barx;NA;Valencia;España;00-00-2011;P. Vargas;C. Ornosa;2011;5;0;;Botánico
Bombus;NA;terrestris;Barx;NA;Valencia;España;00-00-2011;P. Vargas;C. Ornosa;2011;NA;0;1;Botánico
Anthophora;NA;plumipes;Barx;NA;Valencia;España;00-00-2011;P. Vargas;C. Ornosa;2011;1;0;;Botánico
Bombus;NA;ruderatus;Benaocaz;NA;Cádiz;España;00-00-2011;P. Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;terrestris;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;3;Botánico
Bombus;NA;terrestris;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;pratorum;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;1;0;;Botánico
Bombus;NA;terrestris;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;2;Botánico
Bombus;NA;terrestris;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus ;NA;maxillosus;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;1;0;;Botánico
Apis;NA;mellifera;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;3;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;terrestris;Veleta. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;terrestris;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;3;Botánico
Bombus;NA;ruderatus;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;ruderatus;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;pacuorum;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;pacuorum;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis ;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;terrestris;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;4;Botánico
Bombus;NA;ruderatus;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Caballo. Sierra Nevada;NA;Granada;España;00-00-2011;P Vargas;C. Ornosa;2011;NA;0;1;Botánico
Anthidium;NA;cingulatum;Mojácar-Carboneras;NA;Almería;España;00-00-2011;IML;C. Ornosa;2011;NA;0;1;Botánico
Eucera;NA;notata;Mojácar-Carboneras;NA;Almería;España;00-00-2011;IML;C. Ornosa;2011;NA;0;1;Botánico
Ceratina;NA;cucurbitina;Mojácar-Carboneras;NA;Almería;España;00-00-2011;IML;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;pascuorum;Fredes;NA;Castellón;España;00-00-2011;IML;C. Ornosa;2011;NA;0;1;Botánico
Bombus;NA;pratorum;Fredes;NA;Castellón;España;00-00-2011;IML;C. Ornosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Tama;Santander;Cantabria;España;31-11-2011;C. Onosa;C. Onosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Tama;Santander;Cantabria;España;31-11-2011;C. Onosa;C. Onosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Tama;Santander;Cantabria;España;31-11-2011;C. Onosa;C. Onosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Tama;Santander;Cantabria;España;31-11-2011;C. Onosa;C. Onosa;2011;NA;0;1;Botánico
Apis;NA;mellifera;Imlil;Alto Atlas;NA;Marruecos;01-07-2012;JL Blanco;C. Onosa;2012;NA;0;1;UCME
Apis;NA;mellifera;Imlil;Alto Atlas;NA;Marruecos;01-07-2012;JL Blanco;C. Onosa;2012;NA;0;1;UCME
Apis;NA;mellifera;Imlil;Alto Atlas;NA;Marruecos;01-07-2012;JL Blanco;C. Onosa;2012;NA;0;1;UCME
Apis;NA;mellifera;Imlil;Alto Atlas;NA;Marruecos;01-07-2012;JL Blanco;C. Onosa;2012;NA;0;1;UCME
Apis;NA;mellifera;Imlil;Alto Atlas;NA;Marruecos;01-07-2012;JL Blanco;NA;2012;NA;0;1;UCME
