Family;Subfamily;Genus;Species;Subspecies;Locality;altitud;UTM;Day;Month;Year;Individuals;Sex;dataFrom;comments;region
Anthophoridae;Xylocopinae;Ceratina;Ceratina cucurbitina;NA;Barco de Avila;1040;30TTK8670;19;8;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Nomadinae;Ammobates;Ammobates punctatus;NA;Pasarón de la Vera;620;30TTK5937;18;8;1986;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Xylocopinae;Ceratina;Ceratina cucurbitina;NA;Villafranca de la Sierra;1300;30TUK1185;25;6;1986;3;female;Gayubo et al 1990;NA;Sierra de Gredos
Halictidae;Halictinae;Halictus;Halictus subauratus;NA;Villafranca de la Sierra;1300;30TUK1185;25;6;1986;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena aeneiventris;NA;Piedrahita;1350;30TUK0382;25;6;1987;2;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena aeneiventris;NA;San Esteban del Valle;890;30TUK3160;22;7;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena aeneiventris;NA;San Miguel de Corneja;1050;30TUK0684;25;6;1987;2;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena flavipes;NA;Burgohondo;840;30TUK4875;23;7;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena flavipes;NA;Navalosa;1300;30TUK3674;23;7;1987;3;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena flavipes;NA;San Miguel de Corneja;1050;30TUK0684;25;6;1987;4;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena morio;lugubris;Burgohondo;840;30TUK4875;23;7;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena nitida;NA;Navacepedilla de Corneja;1250;30TUK1485;21;7;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena nitida;NA;Piedrahita;1350;30TUK0382;13;8;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Andreninae;Andrena;Andrena variabilis;NA;Piedrahita;1350;30TUK0382;2;8;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus calcaratus;NA;La Herguijuela;1580;30TUK0874;18;8;1987;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus calcaratus;NA;Piedrahita;1350;30TUK0382;13;8;1987;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus calcaratus;NA;San Esteban del Valle;890;30TUK3160;22;7;1987;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus cephalotes;NA;La Herguijuela;1580;30TUK0874;18;8;1987;2;male;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus cephalotes;NA;La Herguijuela;1580;30TUK0874;18;8;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus perezi;NA;La Aldehuela;110;30TTK9576;19;8;1987;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus perezi;NA;San Esteban del Valle;890;30TUK3160;22;7;1987;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus perezi;NA;San Miguel de Corneja;1050;30TUK0684;25;6;1987;2;male;Gayubo et al 1990;NA;Sierra de Gredos
Andrenidae;Parnurginae;Panurgus;Panurgus perezi;NA;San Miguel de Corneja;1050;30TUK0684;25;6;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Anthophorinae;Amegilla;Amegilla albigena;NA;El Hornillo;800;30TUK2157;24;7;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Anthophorinae;Amegilla;Amegilla albigena;NA;La Aldehuela;110;30TTK9576;19;8;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Anthophorinae;Amegilla;Amegilla magnilabris;NA;Villatoro;1400;30TUK2192;21;7;1987;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Xylocopinae;Ceratina;Ceratina chalybea;NA;Bohoyo;1200;30TTK9265;4;8;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Xylocopinae;Ceratina;Ceratina chalybea;NA;El Hornillo;800;30TUK2157;24;7;1987;1;male;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Xylocopinae;Ceratina;Ceratina chalybea;NA;San Miguel de Corneja;1050;30TUK0684;25;6;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Xylocopinae;Ceratina;Ceratina cucurbitina;NA;El Hornillo;800;30TUK2157;24;7;1987;2;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Xylocopinae;Ceratina;Ceratina cucurbitina;NA;Hoyocasero;1280;30TUK3274;20;8;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
Anthophoridae;Xylocopinae;Ceratina;Ceratina cucurbitina;NA;Mombeltrán;630;30TUK2858;24;7;1987;1;female;Gayubo et al 1990;NA;Sierra de Gredos
