,raw,author
1,A. Núñez,Alejandro Núñez
2,Amparo Lázaro,Amparo Lázaro
3,Ana Montero-Castaño,Ana Montero-Castaño
4,Anna Traveset,Anna Traveset
5,B. Arroyo-Correa,Blanca Arroyo-Correa
6,C. Heras,C. Heras
7,C. Molina,Curro Molina
8,C. O’Connor,C. O’Connor
9,C. Ornosa,Concepción Ornosa
10,C. Pérez-Iñigo Mora,C. Pérez-Iñigo Mora
11,Carlos Lara-Romero,Carlos Lara-Romero
12,Compiled by T. Wood,T. Wood
13,Concepción Ornosa,Concepción Ornosa
14,Concepción Ornosa Gallego,Concepción Ornosa
15,D. Paredes,D. Paredes
16,D. Romero,D. Romero
17,David Alomar,David Alomar
18,F. J. Ortiz-Sánchez,F. Javier Ortiz-Sánchez
19,F. Javier Ortiz-Sánchez,F. Javier Ortiz-Sánchez
20,F. López-Núñez,F. López-Núñez
21,F. Perfectti,F. Perfectti
22,F. Torres,Félix Torres
23,F.J. Ortiz-Sanchez,F. Javier Ortiz-Sánchez
24,Félix Torres,Félix Torres
25,Francisco Javier Ortiz-Sánchez,F. Javier Ortiz-Sánchez
26,H. Gaspar,H. Gaspar
27,I. Bartomeus,Ignasi Bartomeus
28,I.M. Liberal,Isabel María Liberal
29,Isabel María Liberal,Isabel María Liberal
30,J. Ascher,J. Ascher
31,J. Banaszak,J. Banaszak
32,J. Bosch,J. Bosch
33,J. Dusmet,J. Dusmet
34,J. Gonzalez-varo,J. Gonzalez-varo
35,J. L. Blanco-Pastor,J. L. Blanco-Pastor
36,J. Loureiro,J. Loureiro
37,J. R. Obeso,J. R. Obeso
38,J.A. González,J.A. González
39,J.Bosch,J. Bosch
40,J.D. Alche,J.D. Alche
41,J.D. Asís,J.D. Asís
42,J.M. Gómez,J.M. Gómez
43,Javier Herrera,Javier Herrera
44,Javier Morente-López,Javier Morente-López
45,Joana Costa,Joana Costa
46,José Iriondo,José Iriondo
47,Jose Luis Blanco-Pastor,Jose Luis Blanco-Pastor
48,Juan Arroyo,Juan Arroyo
49,L. Castro,L. Castro
50,Luis Navarro,Luis Navarro
51,M. Campos,M. Campos
52,M. Miñarro,M. Miñarro
53,M. Porcel,M. Porcel
54,M.D. Martínez,M.D. Martínez
55,M.J. Dardón,M.J. Dardón
56,M.L. Fernández,M.L. Fernández
57,M.Vilà,Montserrat Vilà
58,Manuel Baena,Manuel Baena
59,Marina Alonso Solano,Marina Alonso Solano
60,Mario Fernández-Mazuecos,Mario Fernández-Mazuecos
61,Martínez-Núñez C.,Martínez-Núñez C.
62,Miguel A. González-Estévez,Miguel A. González-Estévez
63,Montserrat Vilà,Montserrat Vilà
64,P. Vargas,Pablo Vargas
65,Pablo Vargas,Pablo Vargas
66,Pedro Coello,Pedro Coello
67,Pilar de la Rúa,Pilar de la Rúa
68,R. Alcalá,R. Alcalá
69,R. Carvalho,R. Carvalho
70,R. Heleno,R. Heleno
71,Rey P.J.,Rey P.J.
72,S. Castro,S. Castro
73,S. Castro & J. Loureiro,S. Castro
74,S.F. Gayubo,S.F. Gayubo
75,Victoria Ferrero,Victoria Ferrero
76,Volker HAESELER,Volker Haeseler
,,J. Loureiro
