"","species","decimalLatitude","decimalLongitude","family","year","month","day","recordedBy","identifiedBy","sex","subspecies"
"23","Bombus terrestris",40.795597,-3.493672,"Apidae",2020,1,11,"jlsoriat",NA,NA,NA
"41","Xylocopa violacea",36.020597,-5.60587,"Apidae",2020,1,8,"Brendan Burke",NA,NA,NA
"42","Xylocopa violacea",38.79999,0.168872,"Apidae",2020,1,27,"supergan",NA,NA,NA
"44","Bombus terrestris",38.862343,0.023646,"Apidae",2020,1,7,"Katja Schulz",NA,NA,NA
"45","Apis mellifera",39.754036,3.158655,"Apidae",2020,2,16,"-1082328577",NA,NA,NA
"46","Apis mellifera",39.766457,3.149986,"Apidae",2020,2,15,"-1082328577",NA,NA,NA
"47","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,15,"-1082328577",NA,NA,NA
"48","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,16,"-1082328577",NA,NA,NA
"49","Apis mellifera",39.843079,3.117542,"Apidae",2020,2,16,"-1082328577",NA,NA,NA
"50","Anthophora plumipes",39.765766,3.146811,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"51","Anthophora plumipes",39.765766,3.146811,"Apidae",2020,2,22,"-1082328577",NA,NA,NA
"52","Apis mellifera",39.740788,3.183975,"Apidae",2020,2,17,"-1082328577",NA,NA,NA
"53","Apis mellifera",39.772263,3.124924,"Apidae",2020,2,23,"-1082328577",NA,NA,NA
"54","Apis mellifera",39.772263,3.124924,"Apidae",2020,2,21,"-1082328577",NA,NA,NA
"55","Apis mellifera",39.743229,3.289976,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"56","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"57","Apis mellifera",39.765766,3.146811,"Apidae",2020,2,23,"-1082328577",NA,NA,NA
"58","Apis mellifera",39.755638,3.166809,"Apidae",2020,2,19,"-1082328577",NA,NA,NA
"59","Apis mellifera",39.761181,3.151617,"Apidae",2020,2,22,"-1082328577",NA,NA,NA
"60","Bombus terrestris",39.743229,3.289976,"Apidae",2020,2,20,"-1082328577",NA,NA,NA
"61","Xylocopa violacea",39.855766,3.098168,"Apidae",2020,2,13,"-1857906570",NA,NA,NA
"62","Apis mellifera",38.843607,-6.372959,"Apidae",2020,2,2,"perez_rayego",NA,NA,NA
"64","Xylocopa violacea",36.721668,-4.413889,"Apidae",2020,2,8,"T'chelet Handel • תכלת הנדל",NA,NA,NA
"66","Apis mellifera",41.415478,2.170195,"Apidae",2020,2,21,"Eric Toro Delgado",NA,NA,NA
"67","Apis mellifera",40.63785,-3.230711,"Apidae",2020,2,22,"arianey",NA,NA,NA
"69","Xylocopa violacea",37.875557,-4.782778,"Apidae",2020,2,4,"T'chelet Handel • תכלת הנדל",NA,NA,NA
"70","Apis mellifera",41.793575,1.633208,"Apidae",2020,2,1,"peresol",NA,NA,NA
"71","Apis mellifera",41.361173,2.157828,"Apidae",2020,2,23,"sbrnmnndz",NA,NA,NA
"73","Xylocopa violacea",38.030199,-0.663421,"Apidae",2020,2,20,"danielnaturalist91",NA,NA,NA
"74","Apis mellifera",40.63785,-3.230711,"Apidae",2020,2,15,"arianey",NA,NA,NA
"75","Xylocopa violacea",37.374776,-5.991898,"Apidae",2020,2,10,"jh",NA,NA,NA
"76","Apis mellifera",39.638075,-0.876889,"Apidae",2020,2,1,"Brendan Burke",NA,NA,NA
"78","Apis mellifera",36.715832,-4.426111,"Apidae",2020,2,8,"T'chelet Handel • תכלת הנדל",NA,NA,NA
"79","Apis mellifera",40.663413,-3.788218,"Apidae",2020,2,21,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"80","Xylocopa violacea",37.559989,-4.646659,"Apidae",2020,2,23,"José Ríos",NA,NA,NA
"81","Xylocopa violacea",37.388434,-5.973367,"Apidae",2020,2,18,"ausram",NA,NA,NA
"82","Apis mellifera",42.826318,-2.662964,"Apidae",2020,2,23,"garnikaisabel",NA,NA,NA
"83","Apis mellifera",38.839714,-6.373425,"Apidae",2020,2,23,"perez_rayego",NA,NA,NA
"84","Xylocopa violacea",40.455585,-3.600273,"Apidae",2020,2,1,"ceciliagc",NA,NA,NA
"85","Apis mellifera",40.63785,-3.230711,"Apidae",2020,2,19,"arianey",NA,NA,NA
"86","Apis mellifera",40.663418,-3.788215,"Apidae",2020,2,21,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"87","Apis mellifera",40.663412,-3.788217,"Apidae",2020,2,21,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"89","Bombus pascuorum",42.16537,-8.685963,"Apidae",2020,2,12,"Carlos Pizcueta Suárez",NA,NA,NA
"91","Apis mellifera",38.927969,-6.375381,"Apidae",2020,2,23,"perez_rayego",NA,NA,NA
"92","Xylocopa violacea",41.971524,3.144051,"Apidae",2020,2,22,"Cris",NA,NA,NA
"93","Apis mellifera",38.93527,-6.417925,"Apidae",2020,2,26,"perez_rayego",NA,NA,NA
"94","Xylocopa violacea",37.017798,-4.553178,"Apidae",2020,2,28,"Susanne Vogel",NA,NA,NA
"95","Xylocopa violacea",41.367772,2.166907,"Apidae",2020,2,27,"karsten_s",NA,NA,NA
"97","Bombus lucorum",41.421589,2.179222,"Apidae",2020,2,22,"gedaloop",NA,NA,NA
"98","Anthophora plumipes",41.407417,2.216567,"Apidae",2020,2,19,"manuelala",NA,NA,NA
"99","Anthophora plumipes",41.421597,2.179148,"Apidae",2020,2,22,"gedaloop",NA,NA,NA
"100","Apis mellifera",39.857522,3.098298,"Apidae",2020,3,1,"karsten_s",NA,NA,NA
"101","Xylocopa violacea",39.795967,3.10597,"Apidae",2020,3,1,"karsten_s",NA,NA,NA
"102","Apis mellifera",39.544408,-0.448083,"Apidae",2020,3,11,"Luis Orlando",NA,NA,NA
"104","Apis mellifera",43.238337,-8.381088,"Apidae",2020,3,9,"davidchas",NA,NA,NA
"105","Apis mellifera",40.63785,-3.230711,"Apidae",2020,3,10,"arianey",NA,NA,NA
"106","Apis mellifera",38.715622,-0.47011,"Apidae",2020,3,9,"Sergio Picó",NA,NA,NA
"107","Apis mellifera",38.928357,-6.380416,"Apidae",2020,3,8,"perez_rayego",NA,NA,NA
"108","Xylocopa violacea",41.407135,2.215005,"Apidae",2020,3,11,"Eric Toro Delgado",NA,NA,NA
"109","Apis mellifera",41.766604,2.625895,"Apidae",2020,3,9,"pacoaguayo",NA,NA,NA
"110","Apis mellifera",40.670045,-3.780074,"Apidae",2020,3,8,"Eduardo Ramirez Esteban",NA,NA,NA
"111","Apis mellifera",39.749365,-0.1925,"Apidae",2020,3,12,"Luis Orlando",NA,NA,NA
"112","Apis mellifera",39.545567,-0.447158,"Apidae",2020,3,11,"Luis Orlando",NA,NA,NA
"113","Xylocopa violacea",40.665133,-3.803123,"Apidae",2020,3,12,"Eduardo Ramirez Esteban",NA,NA,NA
"114","Apis mellifera",41.904752,0.375055,"Apidae",2020,3,10,"bixaurin",NA,NA,NA
"115","Apis mellifera",40.4444,-3.621687,"Apidae",2020,3,5,"Eduardo Ramirez Esteban",NA,NA,NA
"117","Xylocopa violacea",36.752318,-3.871982,"Apidae",2020,3,12,"Rob",NA,NA,NA
"118","Apis mellifera",42.267288,3.018011,"Apidae",2020,3,14,"Jofre",NA,NA,NA
"119","Xylocopa violacea",40.7504,-3.79,"Apidae",2020,3,14,"ricardo-anapri",NA,NA,NA
"120","Apis mellifera",39.702263,2.841019,"Apidae",2020,3,16,"Antonio Morell",NA,NA,NA
"121","Xylocopa violacea",42.136651,2.987942,"Apidae",2020,3,13,"mammal",NA,NA,NA
"122","Apis mellifera",38.928144,-6.378033,"Apidae",2020,3,15,"perez_rayego",NA,NA,NA
"124","Apis mellifera",43.279692,-8.306879,"Apidae",2020,3,17,"Manu Cernadas",NA,NA,NA
"125","Apis mellifera",36.624605,-6.3753,"Apidae",2020,3,14,"ARSENIO GONZALEZ NAVARRO",NA,NA,NA
"126","Bombus terrestris",40.67954,-3.772882,"Apidae",2020,3,19,"a-curuxa",NA,NA,NA
"127","Apis mellifera",42.075682,2.936821,"Apidae",2020,3,18,"mammal",NA,NA,NA
"128","Apis mellifera",40.679909,-3.774267,"Apidae",2020,3,26,"a-curuxa",NA,NA,NA
"149","Bombus lucorum",41.923737,3.157619,"Apidae",2019,1,14,"1129633969",NA,NA,NA
"150","Bombus lucorum",41.889332,3.150673,"Apidae",2019,1,19,"1129633969",NA,NA,NA
"152","Apis mellifera",40.378028,-3.722688,"Apidae",2019,1,13,"poblado_verde_en_acción",NA,NA,NA
"153","Apis mellifera",41.793533,1.633097,"Apidae",2019,1,19,"peresol",NA,NA,NA
"154","Apis mellifera",37.245181,-1.882381,"Apidae",2019,2,4,"heliosg",NA,NA,NA
"155","Anthophora hispanica",37.246297,-1.881686,"Apidae",2019,2,4,"heliosg",NA,NA,NA
"156","Apis mellifera",39.921059,3.085527,"Apidae",2019,2,15,"1665984680",NA,NA,NA
"157","Apis mellifera",39.799339,3.114767,"Apidae",2019,2,11,"1665984680",NA,NA,NA
"158","Apis mellifera",39.780704,3.134365,"Apidae",2019,2,16,"1665984680",NA,NA,NA
"159","Apis mellifera",39.794903,3.103487,"Apidae",2019,2,17,"1665984680",NA,NA,NA
"160","Xylocopa violacea",40.408,-3.607939,"Apidae",2019,2,16,"alasdecera",NA,NA,NA
"161","Xylocopa violacea",37.380562,-5.992587,"Apidae",2019,2,18,"David Remsen",NA,NA,NA
"163","Apis mellifera",39.79937,3.114023,"Apidae",2019,2,20,"1665984680",NA,NA,NA
"165","Xylocopa violacea",40.584121,-5.846692,"Apidae",2019,2,9,"enekogutierrez",NA,NA,NA
"166","Xylocopa violacea",40.37194,-3.708671,"Apidae",2019,2,27,"poblado_verde_en_acción",NA,NA,NA
"168","Apis mellifera",39.780704,3.134365,"Apidae",2019,2,18,"1665984680",NA,NA,NA
"172","Bombus terrestris",41.74257,1.606495,"Apidae",2019,2,3,"peresol",NA,NA,NA
"173","Apis mellifera",41.793903,1.633308,"Apidae",2019,2,3,"peresol",NA,NA,NA
"174","Apis mellifera",39.801117,3.120745,"Apidae",2019,2,14,"1665984680",NA,NA,NA
"175","Apis mellifera",39.79937,3.114023,"Apidae",2019,2,14,"1665984680",NA,NA,NA
"176","Xylocopa violacea",39.709137,2.674941,"Apidae",2019,2,28,"519453048",NA,NA,NA
"178","Xylocopa violacea",36.518192,-4.912263,"Apidae",2019,2,22,"markymark1",NA,NA,NA
"183","Bombus terrestris",40.427272,-3.727872,"Apidae",2019,3,5,"Elliot Greiner",NA,NA,NA
"184","Xylocopa violacea",42.118932,3.1775,"Apidae",2019,3,5,"mammal",NA,NA,NA
"185","Apis mellifera",41.635564,2.699101,"Apidae",2019,3,7,"ant-toniscla",NA,NA,NA
"186","Apis mellifera",41.635541,2.699031,"Apidae",2019,3,14,"ant-toniscla",NA,NA,NA
"188","Apis mellifera",41.635564,2.699157,"Apidae",2019,3,15,"ant-toniscla",NA,NA,NA
"189","Xylocopa violacea",38.006058,-1.154346,"Apidae",2019,3,16,"marhermun",NA,NA,NA
"194","Apis mellifera",39.52421,-0.414044,"Apidae",2019,3,20,"victorgl",NA,NA,NA
"195","Bombus pascuorum",42.251772,-8.7903,"Apidae",2019,3,19,"Carlos Pizcueta Suárez",NA,NA,NA
"199","Xylocopa violacea",40.600705,-6.544961,"Apidae",2019,3,23,"Alvaro Mínguez Velasco",NA,NA,NA
"200","Apis mellifera",37.56404,-6.151272,"Apidae",2019,3,23,"jimarcor",NA,NA,NA
"201","Apis mellifera",42.82554,-2.670727,"Apidae",2019,3,24,"garnikaisabel",NA,NA,NA
"202","Apis mellifera",38.918308,-0.225639,"Apidae",2019,3,24,"supergan",NA,NA,NA
"203","Apis mellifera",41.36164,2.156627,"Apidae",2019,3,26,"Leonardo Platania",NA,NA,NA
"207","Eucera elongatula",39.860867,3.087845,"Apidae",2019,3,23,"-1857906570",NA,NA,NA
"209","Apis mellifera",41.461953,2.218917,"Apidae",2019,3,14,"tawatha",NA,NA,NA
"214","Bombus terrestris",41.635631,2.699449,"Apidae",2019,3,14,"ant-toniscla",NA,NA,NA
"215","Xylocopa violacea",39.860867,3.087845,"Apidae",2019,3,23,"603253980",NA,NA,NA
"216","Xylocopa violacea",40.756298,-3.901475,"Apidae",2019,3,24,"Denis Makhnovsky",NA,NA,NA
"217","Bombus terrestris",38.056019,-3.99736,"Apidae",2019,3,15,"-410828948",NA,NA,NA
"219","Apis mellifera",37.154804,-2.014601,"Apidae",2019,3,21,"-410828948",NA,NA,NA
"220","Xylocopa violacea",38.059475,-2.572536,"Apidae",2019,3,12,"-410828948",NA,NA,NA
