"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid","rm","original_species","accepted_name"
"Acrobasis",NA,"porphyrella",NA,"Spain","Huelva","Doñana National Park",36.9625755,-6.42035071,NA,1983,NA,NA,NA,NA,"","Vives, A., Yela, J. L.",0,0,0,2,"","Daphne gnidium",NA,"Herrera, J.","Journal of Ecology (1988), 76, 274-287","Year from 1982-1984","Historical354","Remove","Acrobasis porphyrella","Acrobasis porphyrella"
"Agrotis",NA,"puta",NA,"Spain","Huelva","Doñana National Park",36.9625755,-6.42035071,NA,1983,NA,NA,NA,NA,"","Vives, A., Yela, J. L.",0,0,0,2,"","Daphne gnidium",NA,"Herrera, J.","Journal of Ecology (1988), 76, 274-287","Year from 1982-1984","Historical342","Remove","Agrotis puta","Agrotis puta"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","GranCanariaMaspalomas",27.70817,-15.55788,NA,1976,NA,NA,"","11/8/1976","Bohart, George","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal11939","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","Maspalomas",27.79844,-15.55834,NA,1976,NA,NA,"","11/8/1976","G.E. Bohart","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal11940","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","TenerifePdelaCruz",28.33318,-16.47922,NA,1978,NA,NA,"","5/16/1978","G.E. Bohart","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal12851","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ELORTIGAL",28.51473,-16.37957,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19982","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ELORTIGAL",28.51473,-16.37957,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",0,2,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19983","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ELORTIGAL",28.51473,-16.37957,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19984","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/15/1993","RASMONT P","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal19985","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","GUAMASA",28.51473,-16.37957,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,3,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20000","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","GUAMASA",28.51473,-16.37957,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,0,0,2,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20001","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20002","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","MONTANADELPULPITO",28.51473,-16.37957,NA,1993,NA,NA,"","10/16/1993","RASMONT P","RASMONT P",0,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20003","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/17/1993","RASMONT P","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20017","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LAESPERANZA",28.42449,-16.3784,NA,1993,NA,NA,"","10/17/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20018","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","SANCRISTOBALDELA",28.51473,-16.37957,NA,1993,NA,NA,"","10/17/1993","RASMONT P","RASMONT P",0,1,0,1,"","","","Compiled by T. Wood","","; RASMONT; ; ","Wood_etal20019","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","Guinea",27.76714,-17.97124,NA,1994,NA,NA,"","4/3/1994","terracognitas96","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal20053","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","SanSebastianLaGomera",28.05454,-17.08577,NA,2010,NA,NA,"","12/11/2010","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25127","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LaPuntillaValleGranRayLaGomera",28.0513,-17.28913,NA,2011,NA,NA,"","12/7/2011","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25611","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","LaPuntillaValleGranRayLaGomera",28.0513,-17.28913,NA,2011,NA,NA,"","12/12/2011","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25612","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","ArgagaSchluchtLaGomera",28.0513,-17.28913,NA,2011,NA,NA,"","12/13/2011","1315648783","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal25613","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","PlayadeSantiagoLaGomera",28.05296,-17.18745,NA,2013,NA,NA,"","12/27/2013","531632058","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal26309","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","PlayaBlancaLanzarote",28.87763,-13.82073,NA,2014,NA,NA,"","3/14/2014","-1510526472","",0,0,0,1,"GBIF,2015","","","Compiled by T. Wood","","; ; ; ","Wood_etal26317","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","FuerteventuraIslade",28.33776,-14.03078,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33946","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","TenerifeIslade",28.33204,-16.58121,NA,NA,NA,NA,"","00/00/1978","","",0,0,0,1,"Baez & Ortega 1978","","","Compiled by T. Wood","","; ; ; ","Wood_etal33947","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Amegilla",NA,"quadrifasciata",NA,"Spain","Canary Islands","FamaraRiscode",29.14528,-13.50929,NA,1991,NA,NA,"","04/00/1991","terracognitas96","RASMONT P",1,0,0,1,"","","","Compiled by T. Wood","","; ; ; ","Wood_etal36176","Remove","Amegilla quadrifasciata","Amegilla quadrifasciata"
"Ammophila",NA,"heydeni",NA,"Spain","Huelva","Doñana National Park",36.9625755,-6.42035071,NA,1983,NA,NA,NA,NA,"","Gayubo, S. F.",0,0,0,2,"","Daphne gnidium",NA,"Herrera, J.","Journal of Ecology (1988), 76, 274-287","Year from 1982-1984","Historical289","Remove","Ammophila heydeni","Ammophila heydeni"
