Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
Anthidium;Anthid;florentinum;San Lorenzo de Tormes;NA;Ávila;España;18-08-1988;NA;NA;F. Sanza;F. Torres;NA;1;NA;Salamanca/2;NA
NA;NA;NA;Pasaron;NA;Cáceres;España;18-08-1988;NA;NA;C. Heras;F. Torres;NA;NA;1;Salamanca/2;NA
Anthidium;Proanthid;oblongatum;Poyales del Hoyo;NA;Ávila;España;20-08-1988;560m;NA;J. J. Pedrero;F. Torres;NA;1;NA;Salamanca/2;NA
NA;NA;NA;Candeleda;NA;Ávila;España;20-08-1988;NA;NA;C. Heras;F. Torres;NA;NA;1;Salamanca/2;NA
NA;NA;NA;Antigüedad;NA;Palencia;España;25-07-1985;NA;NA;A. Rueda;F. Torres;NA;NA;NA;Salamanca/2;NA
Anthidium;Anthid;manicatum;Piedrahita;NA;Ávila;España;12-08-1987;NA;NA;S. F. Gayubo;F. Torres;NA;NA;1;Salamanca/2;NA
NA;NA;NA;Salto Aldeadávila;NA;Salamanca;España;14-08-1997;NA;NA;S. F. Gayubo;F. Torres;NA;1;NA;Salamanca/2;NA
Anthidium;Anthid;cingulatum;Salto Aldeadávila;NA;Salamanca;España;2-08-1997;NA;NA;S. F. Gayubo;F. Torres;NA;1;NA;Salamanca/2;NA
NA;NA;NA;Villarino;NA;Salamanca;España;22-06-1996;NA;NA;S. F. Gayubo;F. Torres;NA;NA;NA;Salamanca/2;NA
Anthidium;Anthid;cingulatum;Pina de Ebro;NA;Zaragoza;España;7-08-1991;NA;NA;J. Blasco;F. Torres;NA;NA;1;Salamanca/2;NA
Anthidium;Anthid;cingulatum;Dueñas;NA;Palencia;España;11-07-1985;NA;NA;A. Rueda;F. Torres;NA;NA;1;Salamanca/2;NA
Anthidium;NA;taeniatum;La Aldehuela;NA;Ávila;España;19-08-1987;NA;NA;S. F. Gayubo;F. Torres;NA;NA;1;Salamanca/2;NA
Anthidium;NA;taeniatum;Navalsanz;NA;Ávila;España;20-08-1987;NA;NA;S. F. Gayubo;F. Torres;NA;1;NA;Salamanca/2;NA
Anthidium;NA;taeniatum;Villamuera de la C.;NA;Palencia;España;20-07-1987;NA;NA;A. Rueda;F. Torres;NA;NA;1;Salamanca/2;NA
Anthidium;NA;lituratum;Tariego;NA;Palencia;España;16-09-1985;NA;NA;A. Rueda;F. Torres;NA;NA;1;Salamanca/2;NA
Anthidium;NA;trematum;Salto Aldeadávila;NA;Salamanca;España;2-08-1997;NA;NA;S. F. Gayubo;F. Torres;NA;1;NA;Salamanca/2;NA
NA;NA;NA;Villarino;NA;Salamanca;España;18-08-1995;NA;NA;S. F. Gayubo;F. Torres;NA;NA;NA;Salamanca/2;NA
Anthidium;NA;punctatum;Pina de Ebro;NA;Zaragoza;España;20-06-1991;NA;NA;J. Blasco;F. Torres;NA;1;NA;Salamanca/2;NA
Anthidium;NA;punctatum;Villarino;NA;Salamanca;España;21-07-1995;NA;NA;S. F. Gayubo;F. Torres;NA;1;NA;Salamanca/2;NA
NA;NA;NA;Villarino;NA;Salamanca;España;7-07-1995;NA;NA;S. F. Gayubo;F. Torres;NA;NA;NA;Salamanca/2;NA
