"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Ceratina","cucurbitina",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","J. Bosch",1899-12-31,1899-12-31,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Ceratina","cyanea",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","J. Bosch",1900-01-01,1899-12-30,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Andrena","flavipes",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1900-01-01,1899-12-31,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Dufourea","halictula",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-31,1899-12-30,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Lasioglossum","fulvicorne",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-31,1899-12-30,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Anthidium","septemdentatum",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","J. Bosch",1899-12-30,1899-12-31,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Nomada","guttulata",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-31,1899-12-30,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Chelostoma","campanularum",NA,"Spain","Lleida","Espot",42.571086,1.104549,"GPS",1905-07-11,1900-01-05,NA,"B. Arroyo-Correa","J. Bosch",1899-12-31,1899-12-30,1899-12-30,1899-12-30,NA,NA,NA,"B. Arroyo-Correa, J.Bosch",NA,NA
"Bombus","terrestris",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-31,1899-12-30,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Xylocopa","violacea",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Xylocopa","cantabrita",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Anthophora","bimaculata",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-31,1899-12-30,1899-12-30,NA,"Halimium halimifolium, Linaria viscosa",NA,"B. Arroyo-Correa",NA,NA
"Dasypoda","cingulata",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Andrena","flavipes",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-31,1899-12-30,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Lasioglossum","gemmeus",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Lasioglossum","malachurum",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",1905-07-11,1900-01-04,1900-01-12,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Córdoba","Cabra",37.488123,-4.380912,"GPS",1905-07-11,1900-01-03,1900-01-26,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-30,1899-12-31,NA,"Linaria sp.",NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Córdoba","Cabra",37.488123,-4.380912,"GPS",1905-07-11,1900-01-03,1900-01-26,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-31,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Bombus","terrestris",NA,"Spain","Cáceres","Sierra de Gata",40.230281,-6.918261,"GPS",1905-07-11,1900-01-03,1900-01-14,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-30,1899-12-30,1899-12-31,1899-12-30,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Osmia","bicornis",NA,"Spain","Cáceres","Sierra de Gata",40.230281,-6.918261,"GPS",1905-07-11,1900-01-03,1900-01-14,"B. Arroyo-Correa","B. Arroyo-Correa",1899-12-31,1899-12-30,1899-12-30,1899-12-30,NA,"Erica sp.",NA,"B. Arroyo-Correa",NA,NA
