"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Ammobates",NA,"muticus",NA,"Spain","Valencia","Javea (Alicante)","38.78333","0.16666","<10m",1989,5,NA,32632,32642,"H. Wolf","H. Wolf",1,0,0,0,NA,NA,"AMNH_BEE 00024743","J. Ascher",NA,NA
"Ammobates",NA,"punctatus",NA,"Portugal","Setubal","Taipadas","38.7333","-8.6667","<1km",1996,8,31,NA,NA,"unknown","M. Schwarz",1,0,0,0,NA,NA,"AMNH_BEE 00020527","J. Ascher",NA,NA
"Apis",NA,"mellifera",NA,"Portugal","Lisbon","Lisbon","38.736946","-9.142685","<3km",2000,NA,NA,NA,NA,"unknown","M. Silva",1,0,0,0,NA,NA,"CE3C",NA,NA,NA
"Amegilla",NA,"Amegilla albigena",NA,"Portugal","Leiria","Penedos ","39.839706","-8.64357","<1km",2019,8,11,43688,43688,"H.Gaspar & P.Ferreira","H. Gaspar ",NA,1,NA,0,NA,NA,"532","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Amegilla",NA,"Amegilla quadrifasciata",NA,"Portugal","Leiria","Vérigo","39.94155","-8.581331","<1km",2017,8,8,42955,42955,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"158","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena albopunctata ",NA,"Portugal","Leiria","Vérigo","39.942318","-8.581725","<1km",2019,4,22,43577,43577,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,"Cistus sp.","438","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena albopunctata ",NA,"Portugal","Leiria","Vérigo","39.941636","-8.581751","<1km",2019,6,29,43645,43645,"H.Gaspar","T. Wood 2020",NA,1,NA,0,NA,"Apiaceae?","503","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena angustior s.s.",NA,"Portugal","Aveiro","Branca"," 40.736853"," -8.483334","<1km",2019,3,11,43535,43536,"H. Gaspar","T. Wood 2020",4,NA,NA,0,NA,NA,"18,24,33,40 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena angustior s.s.",NA,"Portugal","Aveiro","Branca"," 40.736853"," -8.483334","<1km",2019,4,2,43557,43558,"H. Gaspar","T. Wood 2020",NA,2,NA,0,NA,NA,"55,164 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena colletiformis",NA,"Portugal","Leiria","São Vicente","39.844266","-8.642109","<1km",2019,7,19,43665,43665,"H.Gaspar & P.Ferreira","T. Wood 2020",NA,1,NA,0,NA,"Lamiaceae or Poaceae","517","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena flavipes",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,4,2,43557,43558,"H. Gaspar","T. Wood 2020",2,NA,NA,0,NA,NA,"116,132 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena flavipes",NA,"Portugal","Aveiro","Mogofores"," 40.462838"," -8.481978","<1km",2019,5,24,43609,43610,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"383 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena flavipes",NA,"Portugal","Porto","Guilhabreu","41.290484","-8.649053","<1km",2019,5,23,43608,43609,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"853 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
