Published by,Author,doi,local_id,family,genus,species,subspecies,sex,individuals,collector,taxonomist,m_plant_genus,m_plant_species,Other plants,day,month,year,Altitude (m),UTM,lat,long,"Precision (GPS, 1km,2km,...)",location,Province,country,Notes,editor
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Heliotaurus,Heliotaurus ruficolli,,,,J. Herrera,"Cobos, A.",Cistus,Cistus libanotis,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Heliotaurus,Heliotaurus ruficolli,,,,,"Cobos, A.",Halimium,Halimium halimifolium,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Anthaxia,Anthaxia parallela,,,,,"Cobos, A.",Cistus,Cistus libanotis,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Anthaxia,Anthaxia dimidiata,,,,,"Cobos, A.",Halimium,Halimium halimifolium,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Anthaxia,Anthaxia dimidiata,,,,,"Cobos, A.",Halimium,Halimium commutatum,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Acmaeodera,Acmaeodera,,,,,"Cobos, A.",Halimium,Halimium halimifolium,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Acmaeodera,Acmaeodera,,,,,"Cobos, A.",Helichrysum,Helichrysum picardii,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Malthodes,Malthodes,,,,,"Cobos, A.",Cistus,Cistus salvifolius,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Nustera,Nustera distigma,,,,,"Cobos, A.",Cistus,Cistus libanotis,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
"Journal of Ecology (1988), 76, 274-287","Herrera, J.",,,,Nustera,Nustera distigma,,,,,"Cobos, A.",Armeria,Armeria velutina,,,,1983,,,37.046761,-6.44979,,Doñana National Park,Huelva,Spain,Year from 1982-1984,Blake
