"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Ammobates","muticus",NA,"Spain","Valencia","Javea (Alicante)","38.78333","0.16666","<10m",1989,5,NA,32632,32642,"H. Wolf","H. Wolf",1,0,0,0,NA,NA,"AMNH_BEE 00024743","J. Ascher",NA,NA
"Ammobates","punctatus",NA,"Portugal","Setubal","Taipadas","38.7333","-8.6667","<1km",1996,8,"31",NA,NA,"unknown","M. Schwarz",1,0,0,0,NA,NA,"AMNH_BEE 00020527","J. Ascher",NA,NA
"Apis","mellifera",NA,"Portugal","Lisbon","Lisbon","38.736946","-9.142685","<3km",2000,NA,NA,NA,NA,"unknown","M. Silva",1,0,0,0,NA,NA,"CE3C",NA,NA,NA
"Andrena","agilissima",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,6,"21; 22",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","agilissima",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2011,6,"16; 26",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","agilissima",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,6,"1; 6; 8",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","agilissima",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2013,6,"26",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","flavipes",NA,"Spain","Granada","Monachil","37.11139","-3.436943",NA,2012,5,"25",NA,NA,"J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","sardoa",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,5,"24",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
"Andrena","sardoa",NA,"Spain","Granada","Monachil","37.13528","-3.369722",NA,2010,6,"8",NA,NA,"J. Valverde","J. Valverde / J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA
