"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Hoplitis","adunca",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Osmia","bicornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osmia","caerulescens ",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Osmia ","latreillei ","iberoafricana ","Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Osmia ","leaiana ",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"&lt;1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Osmia ","submicans ","canaria ","Spain","Malaga","Algarrobo",36759,-4.04,"&lt;1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Anthophora","plumipes",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Apis","mellifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena","agilissima",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Andrena","ferrugineicrus",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Andrena","suerinensis",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"&lt;1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Andrena","cyanomicans",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"&lt;1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Andrena","haemorrhoa",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Andrena","ovatula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrena","abrupta",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Andrena","congruens",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"<1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
"Andrena","asperrima",NA,"Spain","Malaga","Algarrobo",36759,-4.04,"&lt;1km",2018,4,NA,NA,NA,"O. Aguado","O. Aguado",NA,NA,NA,NA,NA,NA,NA,"O. Aguado, J.I. Hormaza, M.L. Alcaraz. V. Ferrero",NA,NA
