"Id","CodigoColeccion","nNoCatalogo","Ejs","Familia","Subfamilai","Genero","Subgenero","Especie","Subespecie","Autor.taxon","Localidad.en.etiqueta","Localidad","Municipio","Provincia","Autonomia","Pais","Fecha.colecta.en.etiqueta","Colector","Fecha.captura","Notas.captura","Altitud","UTM","Sexo","Procedencia","Determino","Anho.determ"
1728,"MNCN_Ent",273067,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","El Escorial","San Lorenzo de El Escorial",NA,"Madrid","Madrid","España","10-5-24","Dusmet","10/05/1924",NA,NA,NA,"macho","Colección Dusmet","P. Álvarez",2020
1732,"MNCN_Ent",273071,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Sierra de Guadarrama/Cercedilla","Cercedilla",NA,"Madrid","Madrid","España","14-5-19","Dusmet","14/05/1919",NA,NA,NA,"macho","Colección Dusmet","P. Álvarez",2020
1711,"MNCN_Ent",273059,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Villaverde","Villaverde",NA,"Madrid","Madrid","España","17-3-6","Dusmet","17/03/1906",NA,NA,NA,"macho","Colección Dusmet","P. Álvarez",2020
1691,"MNCN_Ent",273061,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","19-4-1","Dusmet","19/04/1901",NA,NA,NA,"macho","Colección Dusmet","P. Álvarez",2020
1731,"MNCN_Ent",273070,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Sierra de Guadarrama","Sierra de Guadarrama",NA,NA,NA,"España","23-5-34","Dusmet","23/05/1934",NA,NA,NA,"macho","Colección Dusmet","P. Álvarez",2020
1720,"MNCN_Ent",273066,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","El Escorial","San Lorenzo de El Escorial",NA,"Madrid","Madrid","España","25-4-33","J. Dusmet","25/04/1933",NA,NA,NA,"macho","Colección Dusmet","P. Álvarez",2020
1734,"MNCN_Ent",273073,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Barcelona Flare-blanc","Barcelona",NA,"Barcelona","Cataluña","España","27.III.98","sin datos","27/03/1898",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1735,"MNCN_Ent",273074,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Barcelona Vallvidrera","Barcelona",NA,"Barcelona","Cataluña","España","4.IV.98","sin datos","04/04/1898",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1677,"MNCN_Ent",273054,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","9-4-903","G. Mercet","09/04/1903",NA,NA,NA,"hembra","Colección Gª Mercet","P. Álvarez",2020
1730,"MNCN_Ent",273069,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","C. Campo","Torrelodones",NA,"Madrid","Madrid","España","Abril","sin datos","04/19[??]",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1719,"MNCN_Ent",273064,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Escorial","San Lorenzo de El Escorial",NA,"Madrid","Madrid","España","sin datos","Arias","1903-1908",NA,NA,NA,"hembra",NA,"P. Álvarez",2020
1723,"MNCN_Ent",273058,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Villaverde","Villaverde",NA,"Madrid","Madrid","España","sin datos","Arias","1905-1908",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1724,"MNCN_Ent",273065,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Escorial","San Lorenzo de El Escorial",NA,"Madrid","Madrid","España","sin datos","Arias","1903-1908",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1729,"MNCN_Ent",273068,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Torrelodones","Torrelodones",NA,"Madrid","Madrid","España","sin datos","C. Bolivar","1923",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1658,"MNCN_Ent",273042,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1662,"MNCN_Ent",273040,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1661,"MNCN_Ent",273043,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"hembra",NA,"P. Álvarez",2020
1703,"MNCN_Ent",273041,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"macho",NA,"P. Álvarez",2020
1680,"MNCN_Ent",273048,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"hembra",NA,"P. Álvarez",2020
1681,"MNCN_Ent",273049,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"hembra",NA,"P. Álvarez",2020
1676,"MNCN_Ent",273044,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"hembra",NA,"P. Álvarez",2020
1684,"MNCN_Ent",273045,1,"Andrenidae","Andreninae","Andrena","Biareolina","lagopus",NA,"Latreille, 1809","Madrid","Madrid",NA,"Madrid","Madrid","España","sin datos","Chicote","1880-1890",NA,NA,NA,"hembra",NA,"P. Álvarez",2020
