"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Osmia","Metallinella","brevicornis","La Tejera","San Asensio","La Rioja","España","nidos 2007","540 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Osmia","Metallinella","brevicornis","La Tejera","San Asensio","La Rioja","España","nidos 2007","540 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Osmia","Metallinella","brevicornis","La Tejera","San Asensio","La Rioja","España","nidos 2007","540 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Osmia","Metallinella","brevicornis","La Tejera","San Asensio","La Rioja","España","nidos 2007","540 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Osmia","Metallinella","brevicornis","La Tejera","San Asensio","La Rioja","España","nidos 2007","540 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Osmia","Metallinella","brevicornis","El Raso","Agoncillo","La Rioja","España","nidos 2007","340 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Hoplitis","Hoplitis","adunca","Cuesta Laguardia","Ventosa","La Rioja","España","nidos 2007","600 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Hoplitis","Hoplitis","adunca","Cuesta Laguardia","Ventosa","La Rioja","España","nidos 2007","600 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Hoplitis","Hoplitis","adunca","Cuesta Laguardia","Ventosa","La Rioja","España","nidos 2007","600 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Hoplitis","Hoplitis","adunca","Cuesta Laguardia","Ventosa","La Rioja","España","nidos 2007","600 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Hoplitis","Hoplitis","adunca","Cuesta Laguardia","Ventosa","La Rioja","España","nidos 2007","600 m",NA,"L. Baños","Torres",2008,NA,1,"Salamanca"
"Hoplitis","Hoplitis","adunca","Hayedo","Ventosa","La Rioja","España","nidos 2007","730 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Hayedo","Ventosa","La Rioja","España","nidos 2007","730 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Hayedo","Ventosa","La Rioja","España","nidos 2007","730 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Hayedo","Ventosa","La Rioja","España","nidos 2007","730 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Hayedo","Ventosa","La Rioja","España","nidos 2007","730 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Los Pradillos","Rodezno","La Rioja","España","nidos 2007","552 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Los Pradillos","Rodezno","La Rioja","España","nidos 2007","552 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Los Pradillos","Rodezno","La Rioja","España","nidos 2007","552 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Los Pradillos","Rodezno","La Rioja","España","nidos 2007","552 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Hoplitis","Hoplitis","adunca","Los Pradillos","Rodezno","La Rioja","España","nidos 2007","552 m",NA,"L. Baños","Torres",2008,NA,NA,"Salamanca"
"Anthidium","Anthidium","florentinum","Cerro Colgado","Cercedilla ","Madrid","España","13-VII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","3-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,1,NA,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","3-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","5-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,1,NA,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthidium","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL1211","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Megachile","Eutrichar","leachella","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","6-VIII-2007","1300m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","VII-2007","1300m","30TVL12 12","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","VII-2007","1300m","30TVL12 13","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Proanthid","oblongatum","Cerro Colgado","Cercedilla ","Madrid","España","VII-2007","1300m","30TVL12 14","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Anthidium","manicatum","Bielva",NA,"Cantabria","España","VII-07",NA,NA,"P. Vargas","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Anthidium","cingulatum","Colmenar",NA,"Madrid","España","VII-07",NA,NA,"P. Vargas","C. Ornosa",NA,1,NA,"UCME"
