"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Start.date","End.Date","Collector","Determiner","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Carlos Ruiz","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Carlos Ruiz","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Carlos Ruiz","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Carlos Ruiz","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Carlos Ruiz","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,2,10,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Prunus dulcis",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Carlos Ruiz",1,0,1,0,NA,"Sideritis murgetana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Carlos Ruiz",1,0,1,0,NA,"Sideritis murgetana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Sideritis murgetana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Sideritis murgetana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Apis","mellifera",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Irene Muñoz Gabaldon","Carlos Ruiz",1,0,1,0,NA,"Sideritis murgetana",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Hylaeus","pictipes",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Echium creticum",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Hylaeus","pictipes",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,0,0,1,NA,"Echium creticum",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
"Hylaeus","pictipes",NA,"Spain","Región de Murcia","Fuente Librilla"," 37.905685°"," -1.456112°","~100 metres",2017,5,16,NA,NA,"Carlos Ruiz","Concepción Ornosa, Carlos Ruiz y DNA barcoding",0,1,0,0,NA,"Echium creticum",NA,"Vicente Martínez-López","This samples were collected with a project to young researchers from the AEET ",NA
