Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Rhodanthidium;sticticum;NA;Spain;Almeria;Níjar;36.9480556;-1.95222222222222;<100m;2020;3;28;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Hippocrepis sp.;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Eucera;notata;NA;Spain;Almeria;El Viso;36.8611111;-2.22194444444444;<100m;2020;3;25;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Echium creticum;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Eucera;notata;NA;Spain;Almeria;El Viso;36.8611111;-2.22194444444444;<100m;2020;3;25;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Asteraceae;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Anthophora;leucophaea;NA;Spain;Almeria;Los Martínez;36.8605556;-2.07777777777777;<100m;2020;3;27;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Echium creticum;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Eucera;notata;NA;Spain;Almeria;Los Albaricoques;36.8413889;-2.12861111111111;<100m;2020;3;17;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Asteraceae;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Anthophora;leucophaea;NA;Spain;Almeria;Los Albaricoques;36.8425;-2.1275;<100m;2020;3;13;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Echium creticum;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Amegilla;andresi;NA;Spain;Almeria;Centro de Visitantes Las Amoladeras;36.8177778;-2.24805555555555;<100m;2020;3;6;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Echium creticum;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Rhodanthidium;sticticum;NA;Spain;Almeria;Los Martínez;36.8972222;-2.12111111111111;<100m;2020;3;4;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Anthyllis cytisoides;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Eucera;notata;NA;Spain;Almeria;El Viso;36.8611111;-2.22194444444444;<100m;2020;3;25;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Reichardia tingitana;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
Eucera;notata;NA;Spain;Almeria;Níjar;36.9733333;-2.12450833333333;<100m;2020;3;15;NA;NA;A. Trillo;FJ Ortiz-Sánchez;1;0;0;0;NA;Ballota hirsuta;EBD-CSIC;A. Trillo, FJ Ortiz-Sánchez;NA;NA
