Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries;
Anthidium;Anthidium;manicatum;Ruinas de Bruñel ;Sierra de Cazorla;Jaén;España;16-06-2010;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2010;NA;1;UCME;NA;
Anthidium;Anthidium;manicatum;Ruinas de Bruñel ;Sierra de Cazorla;Jaén;España;16-06-2010;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2010;NA;1;UCME;NA;
Anthidium;Anthidium;manicatum;Ruinas de Bruñel ;Sierra de Cazorla;Jaén;España;16-06-2010;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2010;1;NA;UCME;NA;
Rhodanthidium;Rhod.;septemdentatum ;Linarejos ;P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;C. Ornosa;C. Ornosa;2010;1;NA;UCME;NA;
Rhodanthidium;Rhod.;sticticum;Linarejos ;P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;C. Ornosa;C. Ornosa;2010;1;NA;UCME;NA;
Anthidiellum;NA;strigatum;Linarejos ;P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;C. Ornosa;C. Ornosa;2010;NA;1;UCME;NA;
Anthidiellum;NA;strigatum;Linarejos ;P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;C. Ornosa;C. Ornosa;2010;1;NA;UCME;NA;
Anthidiellum;NA;strigatum;Linarejos ;P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;C. Ornosa;C. Ornosa;2010;1;NA;UCME;NA;
Rhodanthidium;Rhod.;sticticum;Linarejos ;P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;C. Ornosa;C. Ornosa;2010;NA;1;UCME;NA;
Rhodanthidium;Rhod.;septemdentatum ;Linarejos ;P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;C. Ornosa;C. Ornosa;2010;NA;1;UCME;NA;
