Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;Start.date;End.date;Altitud;GPS.(N);GPS.(E);Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Observaciones;Any.other.additional.data;Notes.and.queries;Atención!
Bombus;Bombus;terrestris; CU-Botánico; Madrid;Madrid;España;03;04;2017;NA;NA;640;NA;NA;M.Benito;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; CU-Botánico; Madrid;Madrid;España;04;04;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Anthidium;NA;florentinum; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Anthidium;NA;florentinum; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Anthidium;NA;florentinum; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Anthidium;NA;florentinum; C Universitaria; Madrid;Madrid;España;15;06;2017;NA;NA;640;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;1;NA;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
Bombus;Bombus;terrestris; Cercedilla; Madrid;Madrid;España;18;06;2017;NA;NA;1230;NA;NA;C. Ornosa;C. Ornosa;2017;NA;1 obrera;UCME;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;UCME;NA;NA;NA;NA
